Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","1","Dandy Maestro","4","Pyle, William","5","Spencer, Richard","7","72","142","0.80","7423811","5","Vsor","Dandy Man (IRE)","Maids Causeway (IRE)","Gelding","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","2","Just Hiss","9","Wilkie, Brandon","5","Easterby, T D","2","65","135","14.00","4885774","20","CkPc","Lawman (FR)","Feather Boa (IRE)","Gelding","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","3","Monhammer","4","Parkinson, Erika","0","Perratt, Miss L A","1","65","135","66.00","6283057","9",,"Awtaad (IRE)","Soviet Terms","Gelding",,"0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","4","Pallas Lord (IRE)","4","Sexton, Ryan","0","Whillans, D W","8","65","135","7.00","2515115","32",,"Dandy Man (IRE)","Nutshell","Gelding","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","5","Engles Rock (IRE)","6","Brookes, Aiden","3","Russell, Miss Lucinda V","10","63","133","20.00","9613540","69","CkPc","Excelebration (IRE)","Lisa Gherardini (IRE)","Mare","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","6","Mabre (IRE)","5","Jary, Alex","5","Evans, P D","4","60","130","5.00","9062318","44",,"Make Believe","Slope","Gelding","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","7","All Things Bright (IRE)","4","Sanna, G","0","Davidson, Tristan","3","58","128","12.00","2049118","12"," TT","Acclamation","Avenue Montaigne (IRE)","Filly",,"0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","8","Otto Oyl","4","Pindar, Rhonda","0","Barron, T D","5","56","126","9.00","6660102","11",,"Mayson","Olive Mary","Gelding","D","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","9","Corndavon Lad (IRE)","5","Wheatley, Zak","0","Carr, Mrs R A","11","53","123","22.00","2337004","22","Blnk","Camacho","Wild Ways","Gelding","CD","0",
"2022-05-18","13:00:00","Ayr","Guinness Apprentice Handicap","1m ","8","Class 6","Good To Soft","3186","11","Left Handed","10","Cosa Sara (IRE)","4","Winn, Mark","3","Goldie, J S","9","47","117","12.00","8794061","22",,"Gleneagles (IRE)","Antique Platinum (IRE)","Filly","CD","0",
