time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,Unnamed: 183,racedate,racetime,race_restrictions_age,race_class,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,odds,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,dayssincelr,careerruns,surfacetype,horse_prizewin,Unnamed: 47
13:15:00,Lingfield,Amsby,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,8,"Eustace, Harry",5,135,"Jamin, Pierre-Louis",0,Non Fav,58,3.5,1,39.895,17.876610000000003,10.40595,0.6555000000000001,0.8399,91.22275789166667,21,5,0,0,9,0,0,185,23,12,297,34,11,5,0,0,31,3,10,9,2,22,10,2,20,141,15,11,150,17,11,20,2,10,6465778,(GB),0,Male,Sir Percy,Eighth,Seventh,62.0,64.0,66.0,68.0,0,0,0,0,Wolverhampton,Class 6,2970.0,1m4f ,11.0,33.0,135.0,46,Wolverhampton,Class 5,3510.0,1m1½f ,7.0,6.0,122.0,300,Kempton,Class 5,3240.0,1m3f ,11.0,9.0,Seventh,9,0,,,,Standard,Standard,Standard To Slow,Astrodiva,None,Hood,0,0,25,8,0,0,95,Joint Second,0.75,13.65,4,0,1,40,60,Inside,Polytrack,Gelding,5,6,0,6,0,50.5,50,5,0,All Weather,12,14,10,0,16,11,11,7.0,6.0,Where Or When (IRE),,,,,,0,0,0,1,0,3,0,1,3,0,1,0,33,1,0,0,0,0,0,0,0,0,1,0,0,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,6th,1,Amsby,3.0,58,2 mins 29.46s,149.46,9.25,50.5,12.0,6,All Weather,4.4,1.79,3,3,2640,0,Handicap,"chased leader, led narrowly 3f out, pushed along and headed over 2f out, ridden over 1f out, soon lost 2nd, weakened final furlong",1,Inside,Left Handed,21,9,Polytrack,300.0,
13:15:00,Lingfield,Taqseemaat,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,6,"Perrett, Mrs A J",4,135,"Sexton, Ryan",5,Non Fav,58,4.5,2,44.67,19.17288,10.507072,0.5,0.3507,92.73302643450002,10,16,3,19,30,6,20,101,15,15,122,16,13,0,0,0,4,0,0,11,0,0,16,0,0,157,19,12,411,34,8,78,8,10,6775,(GB),1,Female,Nayef (USA),Fifth,Seventh,59.0,0.0,0.0,0.0,0,0,0,0,Wolverhampton,Class 6,2970.0,1m4f ,7.0,10.0,132.0,34,Kempton,Class 5,3780.0,1m ,10.0,100.0,123.0,85,Wolverhampton,Class 5,3942.0,1m1½f ,10.0,10.0,Seventh,4,0,,,,Standard,Standard To Slow,Standard,Mooakada (IRE),Cheekpieces,None,0,0,0,0,0,0,31,Clear Seventh,0.75,3.78,2,0,0,50,50,Inside,Polytrack,Filly,3,1,0,1,0,50.5,50,1,0,All Weather,4,8,13,14,6,7,4,3.0,3.5,Montjeu (IRE),,,,,,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,10th,6.5,Taqseemaat,8.0,58,2 mins 29.46s,149.46,22.75,50.5,12.0,10,All Weather,10.671579605331356,3.3,3,3,2640,0,Handicap,"led, pushed along and headed 3f out, chased leaders, weakened quickly turning in, tailed off",2,Inside,Left Handed,10,4,Polytrack,,
13:15:00,Lingfield,Central City (IRE),Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,2,"Kelleway, Miss Gay",7,131,"Furniss, Bradley",7,Non Fav,54,10.0,3,33.120000000000005,21.168000000000003,13.48125,3.4258,0.3622999999999999,92.09853900000002,10,3,0,0,4,0,0,22,0,0,22,0,0,17,0,0,2,0,0,7,0,0,15,1,7,196,9,5,444,27,6,43,2,5,5399490,(IRE),-1,Male,Kodiac,Tenth,Ninth,56.0,56.0,57.0,60.0,14,12,13,12,Leicester,Class 6,3456.0,1m2f ,13.0,16.0,122.0,14,Wolverhampton,Class 6,2970.0,1m½f ,13.0,18.0,127.0,26,Chelmsford City,Class 6,3618.0,1m2f ,10.0,20.0,Fourth,67,8,,,,Good To Firm,Standard,Standard,She Basic (IRE),Cheekpieces,Cheekpieces,25,0,32,38,5,13,95,Joint Second,0.5,16.20,28,4,9,0,0,Inside,Polytrack,Gelding,9,61,6,61,6,50.5,50,25,4,All Weather,9,3,11,16,10,11,11,14.0,11.0,Desert Prince (IRE),Chelmsford City,1m2f ,7.0,Standard,74.0,8,14,0,3,0,8,0,22,6,0,0,0,0,8,1,4,13,50,1,0,0,0,8,1,2,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,1st,,Central City (IRE),9.0,54,2 mins 29.46s,149.46,,50.5,12.0,1,All Weather,11.5,3.05,3,3,2640,0,Handicap,"held up in mid-division, headway and wide home turn, went 2nd 1f out, stayed on to lead final 150 yards, won going away",3,Inside,Left Handed,10,67,Polytrack,2970.0,
13:15:00,Lingfield,Blue Beret,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,10,"Dow, S",4,129,"Keeley, Aidan",5,Non Fav,52,14.0,4,29.6779,15.210359999999998,7.492000000000001,2.4946,0.3551999999999999,79.026902,55,12,2,17,18,4,22,76,7,9,83,8,10,5,0,0,29,3,10,7,0,0,15,0,0,230,15,7,473,35,7,211,17,8,5533980,(GB),0,Female,Helmet (AUS),Tenth,Eighth,54.0,56.0,57.0,57.0,0,5,7,0,Lingfield,Class 6,2970.0,2m ,11.0,12.0,125.0,108,Lingfield,Class 6,2970.0,1m4f ,9.0,50.0,124.0,216,Kempton,Class 6,2322.0,2m ,12.0,6.5,Ninth,19,1,,,,Standard,Standard,Standard To Slow,Vivid Blue,None,None,40,0,33,19,1,5,20,Joint Bottom,4.75,16.55,12,0,4,0,14,Inside,Polytrack,Filly,19,16,1,16,1,50.5,50,11,0,All Weather,11,9,8,9,10,12,9,10.0,10.0,Haafhd,Windsor,1m3½f ,8.5,Good To Firm,55.0,1,0,0,0,1,15,0,6,6,0,0,0,0,5,0,2,0,40,2,0,0,0,15,1,6,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,5th,4,Blue Beret,12.0,52,2 mins 29.46s,149.46,8.25,50.5,12.0,5,All Weather,16.23315371877397,3.991939998284215,3,3,2640,0,Handicap,"held up in rear, some late headway, never on terms with principals",4,Inside,Left Handed,55,19,Polytrack,300.0,
13:15:00,Lingfield,Savoy Brown,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,4,"Attwater, M J",6,128,"Carver, William",0,Fav,51,3.0,5,36.465,20.2095,18.2175,3.5217,0.4023,103.82790255999996,8,8,0,0,16,0,0,138,12,9,311,28,9,10,1,10,50,3,6,15,0,0,22,1,5,344,19,6,617,34,6,188,13,7,7813165,(GB),1,Male,Epaulette (AUS),Fifth,Sixth,51.0,52.0,50.0,50.0,11,8,10,8,Lingfield,Class 6,2970.0,1m4f ,7.0,7.5,117.0,34,Kempton,Class 6,2916.0,1m4f ,10.0,8.5,124.0,59,Lingfield,Class 6,2970.0,1m4f ,8.0,5.0,First,26,2,,,,Standard,Standard To Slow,Standard,Kindia (IRE),None,None,19,33,22,24,2,8,20,Joint Bottom,6.0,7.03,9,1,2,0,0,Inside,Polytrack,Gelding,26,16,1,16,1,50.5,50,21,2,All Weather,10,11,13,13,11,8,10,4.5,2.5,Cape Cross (IRE),Lingfield,1m4f ,5.0,Standard,50.0,2,4,1,2,2,21,0,5,8,1,2,13,25,9,2,3,22,33,3,1,1,33,21,2,4,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,2nd,1.75,Savoy Brown,3.33,51,2 mins 29.46s,149.46,1.75,50.5,12.0,2,All Weather,4.160201522354655,1.668462526,3,3,2640,0,Handicap,"chased leaders, good headway out wide to lead over 2f out, ridden over 1f out, headed and not pace of winner final 150 yards",5,Inside,Left Handed,8,26,Polytrack,1394.0,
13:15:00,Lingfield,Devorgilla,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,3,"Baker, George",4,127,"Clutterbuck, Rhys",0,Non Fav,50,8.5,6,47.566238,13.42847808,6.088254000000001,0.6000000000000001,1.1056,83.11198365429999,171,13,2,15,24,3,13,347,41,12,500,61,12,1,0,0,157,25,16,16,2,13,30,6,20,205,28,14,426,58,14,93,16,17,5566,(GB),-1,Female,Mukhadram,Sixth,Sixth,43.0,0.0,0.0,0.0,0,0,0,0,Wolverhampton,Class 5,3510.0,1m4f ,12.0,200.0,123.0,283,Salisbury,Class 5,3618.0,1m2f ,7.0,125.0,126.0,294,Brighton,Class 6,2322.0,7f ,6.0,22.0,Fifth,4,0,,,,Standard,Good To Soft,Good To Firm,Sweetheart Abbey,None,None,0,0,0,4,0,0,41,Clear Sixth,1.0,13.50,1,0,0,0,25,Inside,Polytrack,Filly,4,0,0,0,0,50.5,50,1,0,All Weather,13,12,12,0,17,8,12,5.0,9.0,Dancing Spree (USA),,,,,,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,4th,1.5,Devorgilla,12.0,50,2 mins 29.46s,149.46,4.25,50.5,12.0,4,All Weather,17.145966988316637,4.974710027820867,3,3,2640,0,Handicap,"chased leaders on inside, ridden over 2f out, ridden disputing 2nd over 1f out, unable to quicken inside final furlong, weakened final 110 yards",6,Inside,Left Handed,171,4,Polytrack,349.0,
13:15:00,Lingfield,Enchantee (IRE),Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,5,"Deacon, Geoffrey",5,123,"Bass, George",3,Non Fav,46,40.0,7,43.03342399999999,17.602829999999997,7.7878500000000015,2.5,0.7827999999999999,88.643516,104,9,2,22,13,2,15,154,11,7,370,31,8,17,3,18,64,10,16,4,1,25,5,1,20,74,8,11,113,11,10,22,2,9,303000U,(IRE),1,Female,Gale Force Ten,Unseated Rider,Tenth,0.0,48.0,51.0,52.0,0,0,0,0,Newbury,Class 4,4084.0,2m½f ,12.0,400.0,147.0,135,Kempton,Class 6,2700.0,1m ,14.0,125.0,129.0,155,Kempton,Class 6,2700.0,1m4f ,12.0,200.0,Twelfth,10,0,,,,Good To Soft,Standard To Slow,Standard To Slow,Love Valentine (IRE),None,None,29,0,33,10,0,0,54,Clear Fifth,,Didnt Finish,3,0,1,10,30,Inside,Polytrack,Mare,4,6,0,6,0,50.5,50,7,0,All Weather,15,18,26,22,16,16,22,33.0,40.0,Fruits Of Love (USA),,,,,,0,0,0,0,0,3,0,2,2,0,1,0,50,1,0,0,0,0,0,0,0,0,7,0,2,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,7th,2.25,Enchantee (IRE),40.0,46,2 mins 29.46s,149.46,11.5,50.5,12.0,7,All Weather,61.21236353134315,12.5,3,3,2640,0,Handicap,"off the pace in mi-division, pushed along 5f out, ridden and weakened over 2f out",7,Inside,Left Handed,104,10,Polytrack,0.0,
13:15:00,Lingfield,London (GER),Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,7,"Vaughan, Tim",5,122,"Phillips, Mollie",3,Non Fav,45,4.0,8,41.10000000000001,21.1975911,7.766999999999999,1.85,0.5592,88.97432000668749,31,13,2,15,18,3,17,251,31,12,305,34,11,1,0,0,37,2,5,6,0,0,25,4,16,233,16,7,492,29,6,16,1,6,0360074,(GER),1,Female,Lord Of England (GER),Fourth,Seventh,46.0,45.0,46.0,49.0,0,0,0,0,Lingfield,Class 6,2970.0,1m4f ,6.0,12.0,114.0,62,Lingfield,Class 6,2970.0,1m2f ,11.0,14.0,128.0,95,Lingfield,Class 6,2970.0,1m4f ,12.0,80.0,Tenth,8,0,,,,Standard,Standard,Standard,La Reine Noir (GER),Hood,Hood,0,0,20,4,0,0,173,Clear Top,1.5,6.00,5,0,1,33,33,Inside,Polytrack,Mare,4,4,0,4,0,50.5,50,3,0,All Weather,16,20,25,25,0,20,0,6.0,3.5,Rainbow Quest (USA),,,,,,0,1,0,1,0,4,0,1,3,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,3rd,1,London (GER),3.5,45,2 mins 29.46s,149.46,2.75,50.5,12.0,3,All Weather,5.715609231,2.02,3,3,2640,0,Handicap,"steadied start, held up off the pace towards rear, trapped behind weakening rival inside final 3f, headway chasing leaders over 1f out, ridden and went 3rd inside final furlong, stayed on same pace",8,Inside,Left Handed,31,8,Polytrack,697.0,
13:15:00,Lingfield,Miss Pollyanna (IRE),Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,1,"Ingram, R",6,122,"Ingram, Rhiain B",0,Non Fav,45,22.0,9,33.13,15.365609999999998,8.069999999999999,1.4445,0.2226,81.17756599999998,31,2,0,0,2,0,0,43,0,0,150,5,3,70,4,6,43,2,5,2,0,0,4,0,0,55,1,2,119,6,5,42,3,7,6463988,(IRE),-1,Female,Helmet (AUS),Eighth,Eighth,46.0,46.0,45.0,44.0,0,0,0,0,Lingfield,Class 6,2970.0,2m ,10.0,50.0,116.0,62,Lingfield,Class 6,2970.0,1m5f ,9.0,40.0,124.0,83,Kempton,Class 6,2916.0,2m ,11.0,16.0,Ninth,30,0,,,,Standard,Standard,Standard To Slow,Ivy Batty (IRE),Hood,Hood,7,0,6,24,0,0,20,Joint Bottom,8.0,6.35,17,0,1,20,20,Inside,Polytrack,Mare,30,21,0,21,0,50.5,50,26,0,All Weather,11,9,8,9,10,12,9,10.0,16.0,Kings Best (USA),,,,,,0,17,0,1,0,26,0,2,9,0,1,0,11,3,0,0,0,0,1,0,0,0,27,0,2,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,8th,0.75,Miss Pollyanna (IRE),28.0,45,2 mins 29.46s,149.46,12.25,50.5,12.0,8,All Weather,44.547489200402055,8.4,3,3,2640,0,Handicap,"off the pace in last pair, never a factor",9,Inside,Left Handed,31,30,Polytrack,0.0,
13:15:00,Lingfield,Dark Icon,Download The At The Races App Apprentice Handicap,Class 6,4yo+,Non-Major,Handicap,1m4f ,2970,Standard,10,All Weather,58,Left Handed,9,"Butler, John",5,122,"Cole, Morgan",5,Non Fav,45,18.0,10,32.970000000000006,16.46629335,9.194897,1.8,1.2869,80.67848561925001,24,2,0,0,4,1,25,74,10,14,93,11,12,6,2,33,13,1,8,14,4,29,31,9,29,419,47,11,750,76,10,120,14,12,4989,(GB),0,Female,Sixties Icon,Ninth,Eighth,45.0,0.0,0.0,0.0,0,0,0,0,Wolverhampton,Class 6,2970.0,1m1½f ,10.0,80.0,126.0,50,Wolverhampton,Class 5,3942.0,1m½f ,9.0,250.0,126.0,68,Southwell,Class 5,3942.0,7f ,9.0,125.0,Ninth,4,0,,,,Standard,Standard,Standard To Slow,Dark Raider (IRE),None,None,0,0,0,4,0,0,95,Joint Second,4.0,10.10,3,0,0,0,20,Inside,Polytrack,Mare,4,1,0,1,0,50.5,50,1,0,All Weather,8,6,4,9,6,4,3,16.0,14.0,Definite Article,,,,,,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022-05-03,,2022-05-03,13:15:00,4yo+,Class 6,1m4f ,2970,Standard,10,9th,4,Dark Icon,40.0,45,2 mins 29.46s,149.46,16.25,50.5,12.0,9,All Weather,90.0,14.45482604971214,3,3,2640,0,Handicap,"towards rear, bit closer in mid-division 8f out, pushed along and weakened inside final 3f, soon behind, tailed off",10,Inside,Left Handed,24,4,Polytrack,,
