time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,
"13:15:00","Haydock","Auld Toon Loon (IRE)","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","5","OMeara, D","4","138","Watson, Jason","0","Fav","78","1.63","1","87.78","25.08426","18.418858","0.4","0.8096","161.81795229280002","11","33","2","6","65","4","6","570","53","9","1260","147","12","506","60","12","30","2","7","59","3","5","123","11","9","911","102","11","1976","231","12","94","12","13","54342","(IRE)","0","Male","Belardo (IRE)","Second","Fourth","75","76","0","0","0","0","0","0","Wetherby","Class 4","6281","1m2f ","14","3.50","132","28","Wolverhampton","Class 5","3174","1m½f ","6","6.00","133","47","Redcar","Class 5","4320","1m ","11","7.00","Third","5","0",,,,"Good","Standard","Soft","Snowtime (IRE)","None","None","25","0","0","5","0","0","111","Clear Fifth","2.75","0.50","0","0","0","0","0","Centre","Flat","Gelding","5","1","0","1","0","74","72","1","0","Flat","11","14","20","20","10","11","16","1.63","1.63","Galileo (IRE)",,,,,,"0","2","0","3","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2023-05-27",
"13:15:00","Haydock","In The Breeze (IRE)","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","7","Appleby, M","5","134","Dawson, R","0","Non Fav","74","5.50","2","65.265","20.941154999999995","13.289174999999998","2.0077","0.5078","130.136994","26","41","6","15","66","12","18","425","60","14","931","132","14","43","9","21","26","1","4","21","0","0","62","0","0","895","104","12","1818","225","12","22","3","14","5257653","(IRE)","-2","Male","Harzand (IRE)","Third","Fifth","75","77","78","80","0","6","0","11","Windsor","Class 4","5653","1m2f ","6","6.00","130","43","Leicester","Class 4","5234","1m4f ","7","2.75","127","70","Wolverhampton","Class 3","9840","1m4f ","7","14.00","Sixth","17","1",,,,"Soft","Heavy","Standard","Its In The Air (IRE)","None","None","67","0","0","17","1","6","116","Clear Fourth","8.00","3.75","2","0","0","0","25","Centre","Flat","Gelding","10","14","1","14","1","74","72","4","0","Flat","16","17","13","100","8","22","38","4.00","5.00","Whipper (USA)","Newbury","1m4f ","9.00","Good","75","1","0","0","2","0","6","0","5","0","0","0","0","0","7","1","3","14","43","0","0","0","0","3","0","2","2023-05-27",
"13:15:00","Haydock","Tiger Beetle","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","1","Rimell, M G","5","134","Levey, S M","0","Non Fav","74","5.00","3","49.7445","36.605700000000006","18.7503","2.9085","0.9282","136.1759739","35","20","1","5","38","4","11","481","57","12","1005","122","12","0","0","0","27","4","15","1","1","100","6","1","17","46","6","13","83","13","16","1","0","0","1590339","(GB)","2","Male","Camelot","Ninth","Third","75","75","74","75","0","6","14","9","Newbury","Class 4","6621","1m2f ","15","10.00","125","55","Doncaster","Class 3","9450","1m2f ","10","14.00","118","71","Wolverhampton","Class 5","6281","1m1½f ","11","8.50","Third","17","1",,,,"Soft","Soft","Standard","Beach Frolic","None","None","57","0","25","15","1","7","151","Clear Second","3.00","23.25","4","0","1","17","25","Centre","Flat","Gelding","8","11","1","11","1","74","72","4","0","Flat","11","9","8","23","10","14","10","7.00","5.50","Nayef (USA)","Wolverhampton","1m1½f ","33.00","Standard","74","1","0","0","2","1","3","0","7","0","0","0","0","0","1","0","1","0","100","0","0","0","0","7","1","4","2023-05-27",
"13:15:00","Haydock","Thunder Ahead","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","3","King, A","5","134","Doyle, Hollie","0","Non Fav","74","11.00","4","59.435","20.95974","9.38456","2.7372","1.0702","118.10265055","30","48","6","13","99","14","14","759","113","15","1951","287","15","53","13","25","60","3","5","29","3","10","56","6","11","623","76","12","1365","176","13","44","3","7","9289874","(GB)","0","Male","Dark Angel (IRE)","Fourth","Seventh","75","102","106","110","0","11","14","12","Chelmsford City","Class 5","5051","1m6f ","8","18.00","132","54","Ludlow","Class 4","5281","2m ","7","28.00","160","84","Doncaster","Class 4","4330","2m3½f ","8","22.00","Eighth","19","2",,,,"Standard","Good To Soft","Good","Champagne Time (IRE)","Cheekpieces","Cheekpieces","43","0","0","7","1","14","177","Clear Top","0.50","6.25","1","0","0","29","57","Centre","Flat","Gelding","11","12","1","8","1","74","72","3","0","Flat","13","13","11","12","15","12","11","8.00","9.00","Oasis Dream","Doncaster","2m½f ","16.00","Good","0","2","0","0","1","1","0","0","5","0","0","0","0","0","6","1","2","17","33","0","0","0","0","7","1","3","2023-05-27",
"13:15:00","Haydock","Cmon Kenny","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","4","Williams, Ian","7","130","Buick, William","0","Non Fav","70","3.50","5","39.551199999999994","27.096750000000004","16.2375","2.8499999999999996","1.0209","111.18769247031248","35","63","11","17","117","24","21","752","194","26","1591","388","24","47","8","17","37","14","38","35","2","6","73","9","12","582","56","10","1234","119","10","47","3","6","2464130","(GB)","0","Male","Dutch Art","Twelfth","Third","73","73","69","0","100","25","50","0","Newbury","Class 4","6621","1m2f ","15","7.50","123","441","Wolverhampton","Class 4","4995","1m1½f ","11","7.50","124","675","Sandown","Class 5","3132","1m2f ","8","1.75","First","8","2",,,,"Soft","Standard","Good To Firm","Bite Of The Cherry","None","None","50","0","100","8","2","25","102","Clear Sixth","5.00","30.65","1","1","1","17","25","Centre","Flat","Gelding","8","3","1","3","1","74","72","3","0","Flat","11","9","10","0","14","3","15","5.50","3.50","Dalakhani (IRE)","Sandown","1m2f ","1.75","Good To Firm","69","2","0","0","1","2","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2023-05-27",
"13:15:00","Haydock","Swift Tuttle (IRE)","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","2","Greenall, Oliver","4","130","Rawlinson, Ali","0","Non Fav","70","16.00","6","49.559999999999995","18.5315472","11.346663999999999","0.8222","0.7755999999999998","107.92239209566668","15","9","1","11","25","2","8","249","23","9","335","28","8","13","1","8","4","0","0","26","1","4","43","3","7","366","61","17","751","98","13","31","4","13","7846798","(IRE)","2","Male","Fast Company (IRE)","Eighth","Ninth","73","0","0","0","0","0","0","0","Chester","Class 4","10192","1m4½f ","11","40.00","133","121","Wetherby","Class 4","3812","1m7½f ","11","40.00","154","141","Ludlow","Class 3","5446","2m ","8","50.00","Seventh","9","0",,,,"Soft","Soft","Soft","Lumiere Astrale (FR)","Hood","Hood","50","0","0","3","0","0","42","Clear Bottom","2.25","17.68","1","0","0","0","33","Centre","Flat","Gelding","4","3","0","3","0","74","72","3","0","Flat","9","8","19","27","13","14","16","10.00","14.00","Trempolino (USA)",,,,,,"0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2023-05-27",
"13:15:00","Haydock","Peripeteia","Betfred Supports Jack Berry House Florida Handicap","Class 5","4yo+","Non-Major","Handicap","1m4f ","6542","Good To Firm","7","Flat","78","Left Handed","6","Kirby, P A","5","122","Beasley, Connor","0","Non Fav","62","16.00","7","54.495","18.8379","10.3627","4.1056","0.8309","117.21408","31","45","4","9","98","15","15","755","82","11","1431","175","12","15","2","13","31","2","6","18","2","11","35","4","11","434","36","8","973","83","9","17","1","6","1417678","(GB)","-2","Female","Sir Percy","Eighth","Seventh","64","66","68","69","100","18","22","19","Catterick","Class 6","3664","1m4f ","14","28.00","135","56","Doncaster","Class 5","4292","1m2f ","9","20.00","129","145","Newcastle","Class 5","4187","1m4½f ","8","18.00","Sixth","22","4",,,,"Good To Soft","Heavy","Standard To Slow","Archduchess","None","None","44","0","100","15","3","20","144","Clear Third","0.03","4.73","1","1","1","27","55","Centre","Flat","Mare","17","17","3","17","3","74","72","1","0","Flat","11","7","10","17","13","12","17","10.00","14.00","Archipenko (USA)","Wolverhampton","1m6f ","5.50","Standard","64","2","0","0","2","3","10","0","10","0","0","0","0","0","6","1","1","17","17","0","0","0","0","9","2","4","2023-05-27",
"13:20:00","Curragh","City Of Troy (USA)","Tally Ho Stud Irish European Breeders Fund (C & G) Maiden","Irish","2yo","Non-Major","Maiden","6f ","10619","Good","7","Flat","0","Straight","3","OBrien, A P","2","131","Heffernan, J A","0","Non Fav","0","6.00","1","0","0","0","0","2.0909","2.0909","No Prev","23","1","4","50","5","10","544","64","12","1015","114","11","345","63","18","155","14","9","25","7","28","59","14","24","527","113","21","1117","218","20","257","49","19","none","(USA)","-1","Male","Justify (USA)","No Run","No Run",,,,,"0","0","0","0",,,,,,,,"No Prev",,,,,,,,"No Prev",,,,,,,"No Run","0","0","No Run","No Run","No Run",,,,"Together Forever (IRE)","None",,"0","0","0","0","0","0","73","Joint Top",,,"0","0","0","0","0","None","Undulating","Colt","0","0","0","0","0","0","0","0","0","Flat","23","32","67","25","0","25","36","5.00","6.00","Galileo (IRE)",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-05-27",
"13:20:00","Curragh","Kortez Bay (IRE)","Tally Ho Stud Irish European Breeders Fund (C & G) Maiden","Irish","2yo","Non-Major","Maiden","6f ","10619","Good","7","Flat","0","Straight","1","Lavery, Ms Sheila","2","131","Colgan, R C","0","Non Fav","0","22.00","2","0","0","0","-0.1","0.7549000000000001","0.6549000000000001","No Prev","17","1","6","30","2","7","343","15","4","720","34","5","265","18","7","68","3","4","11","2","18","21","3","14","190","11","6","417","33","8","60","3","5","none","(IRE)","0","Male","New Bay","No Run","No Run",,,,,"0","0","0","0",,,,,,,,"No Prev",,,,,,,,"No Prev",,,,,,,"No Run","0","0","No Run","No Run","No Run",,,,"Kayak","None",,"0","0","0","0","0","0","32","Joint Fourth",,,"0","0","0","0","0","None","Undulating","Colt","0","0","0","0","0","0","0","0","0","Flat","16","19","16","10","0","20","13","16.00","22.00","Singspiel (IRE)",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-05-27",
"13:20:00","Curragh","Mr Saturday (IRE)","Tally Ho Stud Irish European Breeders Fund (C & G) Maiden","Irish","2yo","Non-Major","Maiden","6f ","10619","Good","7","Flat","0","Straight","7","Lyons, G M","2","131","Keane, C T","0","Non Fav","0","2.00","3","75.66065","0","0","1.8","0.7162","163.711214825","21","46","1","2","84","4","5","840","98","12","1768","249","14","624","121","19","255","35","14","28","0","0","45","2","4","369","39","11","839","137","16","160","22","14","2","(IRE)","1","Male","Blue Point (IRE)","Second","No Run","0",,,,"0","0","0","0","Naas","Irish","8496","5f ","9","6.00","133","No Prev",,,,,,,,"No Prev",,,,,,,"No Run","1","0",,"No Run","No Run","Good To Yielding",,,"Gwael (USA)","None","None","100","0","0","1","0","0","32","Joint Fourth","2.75","2.00","0","0","0","0","50","None","Undulating","Colt","1","1","0","1","0","0","0","1","0","Flat","13","13","0","0","0","0","0","2.25","1.88","AP Indy (USA)",,,,,,"0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2023-05-27",
