horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Agilulf","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","10","0","Johnston, Dylan","7.50","Nicol, Adam","147","0","0",,
"Ardbraccan (IRE)","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","130","0","Burke, Jonathan","5.00","Longsdon, C E","147","0","0",,
"Artistic Choice (IRE)","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","18","0","Bowen, Sean P","2.00","Bell, M L W","154","0","0",,
"Chicago Gal","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","53","0","Hamilton, Jamie","33.00","Easterby, M W","147","0","0",,
"Noble Anthem (IRE)","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","26","0","Sheehan, Gavin","2.00","Watson, Archie","154","0","0",,
"Positive Force","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","62","0","Hughes, Brian","7.00","Menzies, Rebecca","154","0","0",,
"Red Command (IRE)","12:30:00","2022-11-28","Catterick","National Hunt","Hurdle","1m7.5f ","15.5","Good To Soft","7","Class 4","5","0","Midgley, Tom","28.00","Waggott, Miss Tracy","149","0","0",,
"Blue Hawaii (IRE)","13:00:00","2022-11-28","Catterick","National Hunt","Handicap Novices Chase","1m7.5f ","15.5","Good To Soft","6","Class 5","65","0","Armson, Philip","5.50","Collier, Tjade","165","105","0",,
"Check My Pulse (IRE)","13:00:00","2022-11-28","Catterick","National Hunt","Handicap Novices Chase","1m7.5f ","15.5","Good To Soft","6","Class 5","46","0","Brooke, Henry","2.75","Menzies, Rebecca","158","95","0",,
"Duke Of Luckley (IRE)","13:00:00","2022-11-28","Catterick","National Hunt","Handicap Novices Chase","1m7.5f ","15.5","Good To Soft","6","Class 5","155","0","Bowen, Sean P","4.50","Keighley, M","168","105","0",,
