Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Andrews, Mr D I J","1","0","0","0","0","-1","31","4","9","12.9","29.03","11.5","282","8","17","2","5","11.76","29.41","3.5","1","0","0","0","0","-1","3","0","0","0","0","-3",
"Armson, Philip","12","1","2","8.33","16.67","-4","466","37","113","7.94","24.25","-111.59","8","10","296","30","88","10.14","29.73","-21.42","44","8","25","18.18","18.18","-16.88","403","35","107","8.68","8.68","-178.92",
"Austin, Edward","7","0","0","0","0","-7","114","11","24","9.65","21.05","-22","33","11","79","9","16","11.39","20.25","-1","10","4","8","40","40","3","81","7","18","8.64","8.64","-24.5",
"Bannister, Harry A A","9","0","2","0","22.22","-9","497","65","161","13.08","32.39","-79","125","15","179","28","63","15.64","35.2","-25.61","81","25","47","30.86","30.86","-14.92","305","47","108","15.41","15.41","12.55",
"Bass, David","11","0","1","0","9.09","-11","518","72","168","13.9","32.43","-139.03","26","19","226","32","75","14.16","33.19","-44","91","25","55","27.47","27.47","-25.97","291","33","87","11.34","11.34","-98.56",
"Bastyan, Mitchell S","5","1","3","20","60","-0.67","384","49","125","12.76","32.55","-100.3","1","1","142","19","50","13.38","35.21","-64.68","52","18","34","34.62","34.62","-7.96","248","30","84","12.1","12.1","-64.43",
"Bellamy, Tom","19","2","8","10.53","42.11","-9.75","820","96","261","11.71","31.83","-262.62","6","5","404","44","134","10.89","33.17","-145.69","84","34","50","40.48","40.48","6.92","487","59","158","12.11","12.11","-132.46",
"Benson, Miss G","1","0","1","0","100","-1","26","2","9","7.69","34.62","23","41","2","19","1","7","5.26","36.84","15","0","0","0","0","0","0","11","2","4","18.18","18.18","38",
"Best, J A","13","1","2","7.69","15.38","-2","751","46","147","6.13","19.57","-297.9","7","12","275","12","41","4.36","14.91","-150.04","37","14","18","37.84","37.84","6.44","459","37","110","8.06","8.06","-103.8",
"Blackmore, Rachael","21","2","8","9.52","38.1","21.29","887","133","336","14.99","37.88","-285.06","6","5","466","62","162","13.3","34.76","-137.72","207","66","126","31.88","31.88","-54.62","346","24","104","6.94","6.94","-138.09",
"Bowen, James C","29","2","9","6.9","31.03","-19","752","118","263","15.69","34.97","-62.65","1","2","337","48","111","14.24","32.94","-48.73","130","47","84","36.15","36.15","3.34","468","79","162","16.88","16.88","51.02",
"Brace, Connor","4","2","2","50","50","3.36","347","45","97","12.97","27.95","-4.96","4","1","179","30","49","16.76","27.37","-26.37","35","15","21","42.86","42.86","10.91","195","29","58","14.87","14.87","14.27",
"Brennan, P J","12","3","7","25","58.33","-2.62","750","170","342","22.67","45.6","-94.26","4","2","313","78","146","24.92","46.65","-11.46","213","94","142","44.13","44.13","12.36","385","77","152","20","20","-67.65",
"Brogan, Kevin","11","1","3","9.09","27.27","-2","533","74","186","13.88","34.9","-54.03","9","11","258","33","82","12.79","31.78","5.41","100","33","64","33","33","-17.27","429","64","161","14.92","14.92","-68.53",
"Brooke, Henry","20","2","3","10","15","-12.4","662","74","196","11.18","29.61","-215.23","6","10","229","35","80","15.28","34.93","-50.7","73","27","47","36.99","36.99","9.53","409","56","137","13.69","13.69","-95.71",
"Burke, Jonathan","26","1","4","3.85","15.38","-22.25","893","122","296","13.66","33.15","-173.53","3","6","405","58","140","14.32","34.57","-101.21","110","44","72","40","40","9.25","550","74","182","13.45","13.45","-105.33",
"Byrnes, Mr P","8","1","3","12.5","37.5","2","168","23","56","13.69","33.33","-60.34","7","4","110","13","35","11.82","31.82","-49.32","26","13","19","50","50","13.16","69","9","20","13.04","13.04","-22.5",
"Callaghan, Mr K","7","1","2","14.29","28.57","-4.5","157","12","32","7.64","20.38","-80.38","5","1","139","10","27","7.19","19.42","-81.88","13","5","11","38.46","38.46","-1.88","94","4","15","4.26","4.26","-53.5",
