Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","44","1","13","2.27","29.55","-37.5","1281","129","393","10.07","30.68","-381.6","11","32","683","60","200","8.78","29.28","-188.86","174","56","104","32.18","32.18","5.2","989","112","328","11.32","11.32","-203.96",
"Armson, Philip","5","0","0","0","0","-5","482","38","118","7.88","24.48","-141.17","96","30","206","10","30","4.85","14.56","-4.92","46","7","25","15.22","15.22","-23.21","411","36","110","8.76","8.76","-200.5",
"Barry, Mr J C","2","0","1","0","50","-2","160","8","30","5","18.75","-34.17","120","23","71","3","15","4.23","21.13","-37","3","1","1","33.33","33.33","1.33","32","1","2","3.13","3.13","-27.67",
"Bass, George","9","0","4","0","44.44","-9","379","34","99","8.97","26.12","-68.4","35","26","179","14","50","7.82","27.93","-83.04","24","9","13","37.5","37.5","3.27","286","30","83","10.49","10.49","-41.9",
"Beasley, Connor","47","6","18","12.77","38.3","-16.88","1456","170","495","11.68","34","-207.8","2","8","739","82","251","11.1","33.96","-135.2","208","52","122","25","25","-47.15","1047","125","364","11.94","11.94","-83.35",
"Bennett, Charlie","8","1","2","12.5","25","-1.5","574","18","94","3.14","16.38","-418.62","1","1","268","8","49","2.99","18.28","-214","21","3","10","14.29","14.29","-9.5","410","15","78","3.66","3.66","-271.12",
"Best, J A","14","1","3","7.14","21.43","67","702","38","127","5.41","18.09","-283.06","4","6","337","13","56","3.86","16.62","-120.87","36","11","15","30.56","30.56","1.03","442","33","105","7.47","7.47","-55.71",
"Bishop, Charles","24","3","8","12.5","33.33","-2.5","701","69","190","9.84","27.1","-182.01","4","9","409","41","119","10.02","29.1","-152","67","22","40","32.84","32.84","-13.13","413","34","98","8.23","8.23","-92.7",
"Blackmore, Rachael","15","2","7","13.33","46.67","-5","836","122","313","14.59","37.44","-253.02","12","12","440","61","166","13.86","37.73","-130.49","193","63","122","32.64","32.64","-46.31","330","24","92","7.27","7.27","-121.21",
"Bowen, Miss S L","1","0","0","0","0","-1","51","2","12","3.92","23.53","-35","34","2","22","1","5","4.55","22.73","-15.5","4","0","2","0","0","-4","51","2","12","3.92","3.92","-35",
"Bowen, Sean P","37","6","15","16.22","40.54","-13.62","1279","262","497","20.48","38.86","114.41","4","14","732","148","277","20.22","37.84","145.43","314","136","199","43.31","43.31","12.46","828","152","301","18.36","18.36","2.06",
"Bowers-Carter, Miss Aaliyah","0","0","0","0","0","0","5","0","0","0","0","-5","9999","9999","5","0","0","0","0","-5","0","0","0","0","0","0","5","0","0","0","0","-5",
"Bradley, Paddy","18","1","2","5.56","11.11","-14","286","23","71","8.04","24.83","-97.84","1","1","248","21","61","8.47","24.6","-72.84","19","1","7","5.26","5.26","-15.5","219","22","63","10.05","10.05","-34.34",
"Brassil, C","4","0","0","0","0","-4","160","9","38","5.63","23.75","-83.2","75","22","96","5","18","5.21","18.75","-46.4","9","3","5","33.33","33.33","-1.7","94","3","19","3.19","3.19","-74.5",
