Jockey,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","30","2","7","6.67","23.33","-16.5","49","4","14","8.16","28.57","-26","1325","122","398","9.21","30.04","-368.44","1","3","645","62","199","9.61","30.85","-182.58","142","33","79","23.24","23.24","-29.72","1024","102","325","9.96","9.96","-254.84",
"Anderson, Joe","1","0","0","0","0","-1","1","0","0","0","0","-1","221","29","77","13.12","34.84","-21.45","59","7","146","15","44","10.27","30.14","-28.03","21","8","13","38.1","38.1","4.72","179","24","67","13.41","13.41","-15.2",
"Armson, Philip","2","0","0","0","0","-2","6","1","1","16.67","16.67","35","357","16","51","4.48","14.29","-87.09","9","3","151","6","21","3.97","13.91","-82.17","20","0","7","0","0","-20","289","14","45","4.84","4.84","-149.42",
"Bellamy, Tom","4","0","1","0","25","-4","8","0","2","0","25","-8","897","94","274","10.48","30.55","-305.84","31","10","433","48","142","11.09","32.79","-155.3","91","30","53","32.97","32.97","-16.01","559","56","162","10.02","10.02","-242.87",
"Bennett, Charlie","3","0","0","0","0","-3","6","0","0","0","0","-6","389","14","71","3.6","18.25","-260","53","28","115","5","20","4.35","17.39","-50.5","16","3","6","18.75","18.75","-4.5","281","11","58","3.91","3.91","-168.5",
"Benson, Miss G","2","0","0","0","0","-2","3","0","0","0","0","-3","45","3","12","6.67","26.67","16.5","120","16","31","2","6","6.45","19.35","-3.5","1","0","0","0","0","-1","16","2","6","12.5","12.5","24.5",
"Best, J A","7","0","0","0","0","-7","14","0","1","0","7.14","-14","718","40","137","5.57","19.08","-287.98","38","25","385","27","82","7.01","21.3","-171.11","29","10","15","34.48","34.48","2.36","482","38","125","7.88","7.88","-73.98",
"Blackmore, Rachael","11","3","3","27.27","27.27","-3.5","23","5","8","21.74","34.78","-7.67","889","126","326","14.17","36.67","-292.04","2","2","450","65","160","14.44","35.56","-162.55","178","55","109","30.9","30.9","-33.34","361","28","102","7.76","7.76","-165.72",
"Bowen, James C","6","0","0","0","0","-6","9","2","3","22.22","33.33","-1.64","691","96","244","13.89","35.31","-126.66","9","7","464","73","181","15.73","39.01","-52.67","120","41","79","34.17","34.17","-9.21","407","60","136","14.74","14.74","-5.79",
"Bowen, S D","10","5","7","50","70","20.88","10","5","7","50","70","20.88","579","56","158","9.67","27.29","-99.2","1","1","352","36","104","10.23","29.55","-91.41","56","17","35","30.36","30.36","-2.53","484","44","136","9.09","9.09","-70.53",
