Jockey,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Atkins, Mr Harry","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","9","25","10.23","28.41","-0.49","122","3","61","6","17","9.84","27.87","4.13","10","3","7","30","30","-0.99","74","9","21","12.16","12.16","13.51",
"Bannister, Harry A A","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","1","0","0","0","0","-1","434","38","119","8.76","27.42","-181.94","68","11","257","21","63","8.17","24.51","-128.14","50","13","22","26","26","-13.6","320","28","89","8.75","8.75","-119.82",
"Bass, George","1","0","0","0","0","-1","2","0","1","0","50","-2","6","0","4","0","66.67","-6","13","2","7","15.38","53.85","-5.5","339","31","98","9.14","28.91","-160.55","14","11","158","17","46","10.76","29.11","-75.51","24","9","13","37.5","37.5","3.96","250","28","84","11.2","11.2","-86.88",
"Beasley, Connor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","25","-4","1263","142","433","11.24","34.28","-281.44","28","40","537","62","186","11.55","34.64","-138.99","169","44","105","26.04","26.04","-34.26","956","101","320","10.56","10.56","-269.43",
"Bennett, Charlie","0","0","0","0","0","0","3","0","0","0","0","-3","7","0","3","0","42.86","-7","12","0","3","0","25","-12","386","12","71","3.11","18.39","-274","63","37","115","4","21","3.48","18.26","-57","15","2","5","13.33","13.33","-7.5","282","9","58","3.19","3.19","-186.5",
"Bennett, Miss N","0","0","0","0","0","0","1","1","1","100","100","11","2","1","1","50","50","10","4","2","2","50","50","20","56","9","13","16.07","23.21","61.5","2","1","30","4","5","13.33","16.67","34","1","0","0","0","0","-1","44","9","12","20.45","20.45","73.5",
"Best, J A","2","0","1","0","50","-2","2","0","1","0","50","-2","3","0","1","0","33.33","-3","10","0","1","0","10","-10","722","40","138","5.54","19.11","-291.98","48","33","385","27","81","7.01","21.04","-171.11","29","10","15","34.48","34.48","2.36","487","38","126","7.8","7.8","-78.98",
"Bird, Sean","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","3","0","0","0","0","-3","131","3","12","2.29","9.16","-61","45","11","60","1","6","1.67","10","-45","0","0","0","0","0","0","85","2","9","2.35","2.35","-41",
"Bishop, Charles","1","0","1","0","100","-1","6","1","2","16.67","33.33","-3.5","18","1","6","5.56","33.33","-15.5","29","1","8","3.45","27.59","-26.5","859","88","247","10.24","28.75","-227.47","2","4","454","48","129","10.57","28.41","-90.04","85","33","54","38.82","38.82","1.45","523","53","143","10.13","10.13","-72.77",
"Bowen, James C","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","50","100","3","5","1","3","20","60","0","690","96","246","13.91","35.65","-123.41","6","1","468","74","184","15.81","39.32","-51.67","120","41","79","34.17","34.17","-6.96","407","61","139","14.99","14.99","-0.79",
"Bowen, S D","1","0","0","0","0","-1","12","1","2","8.33","16.67","-6","22","2","4","9.09","18.18","-12.75","38","7","13","18.42","34.21","2.13","603","58","163","9.62","27.03","-113.95","3","11","366","35","103","9.56","28.14","-116.16","59","18","36","30.51","30.51","-2.28","504","46","140","9.13","9.13","-81.28",
"Bowen, Sean P","2","0","0","0","0","-2","3","0","0","0","0","-3","7","0","0","0","0","-7","24","3","8","12.5","33.33","-15.77","1429","274","542","19.17","37.93","126.33","10","11","692","124","261","17.92","37.72","-34.19","358","144","211","40.22","40.22","0.53","933","159","322","17.04","17.04","-63.56",
"Bradley, Paddy","1","0","1","0","100","-1","5","2","4","40","80","1.75","10","3","6","30","60","-0.25","24","4","8","16.67","33.33","-8.75","590","51","148","8.64","25.08","-152.55","2","2","339","30","86","8.85","25.37","-76.71","34","8","16","23.53","23.53","-8.54","446","46","129","10.31","10.31","-32.05",
"Breslin, Andrew","0","0","0","0","0","0","1","0","1","0","100","-1","4","0","1","0","25","-4","12","2","4","16.67","33.33","12.5","371","17","70","4.58","18.87","-168","11","7","266","15","58","5.64","21.8","-92","11","1","4","9.09","9.09","-7.75","316","15","60","4.75","4.75","-147",
"Buick, William","4","0","1","0","25","-4","12","1","4","8.33","33.33","-9.62","22","2","6","9.09","27.27","-16.62","30","4","11","13.33","36.67","-11.62","1316","299","571","22.72","43.39","-131.53","2","8","555","126","230","22.7","41.44","-97.07","467","178","280","38.12","38.12","-27.78","656","139","259","21.19","21.19","25.03",
"Burns, Harry","0","0","0","0","0","0","2","0","0","0","0","-2","3","0","0","0","0","-3","5","0","0","0","0","-5","303","24","74","7.92","24.42","-148.27","30","8","94","3","12","3.19","12.77","-58.5","17","5","10","29.41","29.41","-2.1","222","17","60","7.66","7.66","-114.01",
"Caffrey, Adam","4","0","1","0","25","-4","6","0","1","0","16.67","-6","14","1","3","7.14","21.43","-8","24","2","5","8.33","20.83","1","657","68","182","10.35","27.7","-98.22","6","12","346","37","98","10.69","28.32","-57.38","70","19","42","27.14","27.14","7.79","542","59","155","10.89","10.89","-36.3",
"Callan, N","0","0","0","0","0","0","5","2","2","40","40","-0.17","8","2","4","25","50","-3.17","22","5","8","22.73","36.36","2.33","930","119","303","12.8","32.58","-89.08","2","1","425","41","129","9.65","30.35","-149.64","133","43","87","32.33","32.33","-17.42","603","79","201","13.1","13.1","-28.53",
"Carroll, G F","2","0","1","0","50","-2","3","0","1","0","33.33","-3","12","2","5","16.67","41.67","1.25","23","2","8","8.7","34.78","-9.75","1028","95","267","9.24","25.97","-261.13","5","7","492","36","127","7.32","25.81","-137.32","95","26","57","27.37","27.37","-10.17","521","47","145","9.02","9.02","-155.18",
