racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","1st",,"Broadway Buffalo (IRE)","0","Pipe, D E","5","Scudamore, Tom","0","166","0.14","(Fav)","0","5 mins 27.20s","327.2",,"0","21","1","National Hunt","1.17","1.07","2","2","4620","0","Novices Hurdle","made all, clear from 3 out, unchallenged, eased run-in, comfortably","1","None","Left Handed",,"17","4","Broadway Flyer (USA)","Very Undulating","3422",
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","2nd","39","Whenindoubtdoit (IRE)","0","Arbuthnot, D W P","6","Cannon, Tom J","3","149","6",,"116","5 mins 27.20s","327.2","39","0","21","2","National Hunt","8.8","1.36","2","2","4620","0","Novices Hurdle","tracked winner, ridden and outpaced from 3out","5","None","Left Handed",,"21","2","Shantou (USA)","Very Undulating","998",
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","3rd","1","Candlefort Lady (IRE)","0","Moore, G L","8","Moore, Jamie","0","145","66",,"0","5 mins 27.20s","327.2","40","0","21","3","National Hunt","144.797241129273","12","2","2","4620","0","Novices Hurdle","tracked leaders, progress to dispute 2nd 5th, ridden and outpaced from 3 out","6","None","Left Handed",,"17","4","Beneficial","Very Undulating","499",
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","4th","17","Sharp Suit (IRE)","0","Mullins, J W","6","Kavanagh, Wayne","3","149","33",,"0","5 mins 27.20s","327.2","57","0","21","4","National Hunt","55","4.6","2","2","4620","0","Novices Hurdle","mid-division, ridden and weakened 8th, tailed off","3","None","Left Handed",,"7","3","Milan","Very Undulating","0",
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","PU",,"Thelordbewithyou (IRE)","0","Davison, Miss Z C","9","Gracey-Davison, Gemma","5","147","150",,"0","5 mins 27.20s","327.2",,"0","21","PU","National Hunt","586.127127339","39.1090430728928","2","2","4620","0","Novices Hurdle","in rear, weakened 8th, detached when pulled up 2 out","4","None","Left Handed","Hood","1331","2","Turtle Island (IRE)","Very Undulating",,
"2013-03-11","14:10:00","Plumpton","Star Sports Cheltenham Preview At Plumpton National Hunt Novices Hurdle ","5yo+","Class 4",,"2m5f ","3422","Soft","6","PU",,"Redinga","0","Jewell, Mrs L C","7","Tumelty, Gerard","0","145","150",,"0","5 mins 27.20s","327.2",,"0","21","PU","National Hunt","584.775712505599","34.5623722906291","2","2","4620","0","Novices Hurdle","in rear, hit 2nd, behind next, pulled up 6th","7","None","Left Handed",,"12","1","Karinga Bay","Very Undulating",,
"2013-03-11","14:40:00","Plumpton","Heart Novices Handicap Chase ","5yo+","Class 4",,"2m4f ","4328","Soft","4","1st",,"Upton Mead (IRE)","0","Tork, K","6","Shoemark, Conor P","7","136","1.38","(Fav)","81","5 mins 24.40s","324.4",,"91","20","1","National Hunt","2.46","1.41223126712683","1","2","4400","0","Handicap Novices Chase","tracked leading pair, left 2nd after 7th, outpaced 10th, ridden next, headway to press leader 3 out, led soon after, stayed on","4","None","Left Handed",,"5","11","Jimble (FR)","Very Undulating","4328",
"2013-03-11","14:40:00","Plumpton","Heart Novices Handicap Chase ","5yo+","Class 4",,"2m4f ","4328","Soft","4","2nd","11","Callhimwhatyouwant (IRE)","0","Newland, Dr R D P","8","Moore, Jamie","0","159","3",,"97","5 mins 24.40s","324.4","11","91","20","2","National Hunt","5.455360127","2.12","1","2","4400","0","Handicap Novices Chase","led, headed between 3 out and 2 out, soon beaten","2","None","Left Handed","Blnk","22","5","Old Vic","Very Undulating","1574",
"2013-03-11","14:40:00","Plumpton","Heart Novices Handicap Chase ","5yo+","Class 4",,"2m4f ","4328","Soft","4","F",,"Shropshirelass","0","Davison, Miss Z C","10","Gracey-Davison, Gemma","5","142","14",,"85","5 mins 24.40s","324.4",,"91","20","F","National Hunt","18.5315316404687","4.69042033388047","1","2","4400","0","Handicap Novices Chase","tracked leading pair when fell 7th","3","None","Left Handed","CkPc","111","55","Beat All (USA)","Very Undulating",,
"2013-03-11","14:40:00","Plumpton","Heart Novices Handicap Chase ","5yo+","Class 4",,"2m4f ","4328","Soft","4","PU",,"Quinte du Chatelet (FR)","0","Pipe, D E","9","Scudamore, Tom","0","166","1.75",,"104","5 mins 24.40s","324.4",,"91","20","PU","National Hunt","2.82","1.64","1","2","4400","0","Handicap Novices Chase","with leader, sprawled on landing 7th, soon pulled up","1","None","Left Handed","Blnk","13","28","Lavirco (GER)","Very Undulating",,
