racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","1st",,"Taygar (IRE)","6","Dods, M","2","Beasley, Connor","0","128","3.5","(JFav)","0","1 mins 4.71s","64.71",,"0","5","1","Flat","0","0","3","0","1100","0","Novices","held up in rear, ridden over 3f out, still plenty to do 2f out, stayed on into 3rd entering final furlong, kept on well to lead close home","8","Inside","Straight",,"None","0","Churchill (IRE)","Flat","4050","Filly","Leoube (IRE)","Kodiac",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","2nd","1.5","Scoops Ahoy (IRE)","8","OMeara, D","2","Watson, Jason","0","131","6",,"0","1 mins 4.71s","64.71","1.5","0","5","2","Flat","0","0","3","0","1100","0","Novices","chased leader, driven over 2f out, headway to lead over 1f out, soon pressed for lead, kept on inside final furlong, headed close home","6","Inside","Straight",,"None","0","Bungle Inthejungle","Flat","1901","Colt","Mochachino (IRE)","Fast Company (IRE)",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","3rd","3.25","Chumbaa (IRE)","4","Fell, Roger","2","Curtis, B A","0","126","3.5","(JFav)","0","1 mins 4.71s","64.71","4.75","0","5","3","Flat","0","0","3","0","1100","0","Novices","led, pressed for lead over 2f out where ridden, soon headed, kept on same pace inside final furlong","10","Inside","Straight",,"10","1","Belardo (IRE)","Flat","951","Filly","Hayba","Invincible Spirit (IRE)",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","4th","4.75","Northern Prince","2","Easterby, T D","2","Allan, David","0","133","10",,"0","1 mins 4.71s","64.71","9.5","0","5","4","Flat","0","0","3","0","1100","0","Novices","prominent, pushed along over 2f out, weakened entering final furlong","3","Inside","Straight",,"None","0","Ardad (IRE)","Flat","476","Colt","Gran Canaria Queen","Compton Place",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","5th","0.5","Celestial Flight","1","Pears, Ollie","2","Sullivan, James P","0","131","10",,"0","1 mins 4.71s","64.71","10","0","5","5","Flat","0","0","3","0","1100","0","Novices","midfield, driven and outpaced over 2f out, kept on same pace entering final furlong","4","Inside","Straight",,"None","0","Harry Angel (IRE)","Flat","0","Gelding","Ebrah","Singspiel (IRE)",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","6th","1.75","Classy Clarets (IRE)","9","Fahey, R A","2","Nolan, D","0","133","7.5",,"0","1 mins 4.71s","64.71","11.75","0","5","6","Flat","0","0","3","0","1100","0","Novices","midfield, ridden over 2f out, weakened over 1f out","1","Inside","Straight",,"None","0","Cotai Glory","Flat","0","Colt","Hope And Faith (IRE)","Zebedee",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","7th","2.25","Macedonian King (IRE)","5","Murphy, Amy","2","Hardie, Cameron","0","133","4.5",,"0","1 mins 4.71s","64.71","14","0","5","7","Flat","0","0","3","0","1100","0","Novices","held up in midfield, ridden over 3f out, lost touch over 1f out","2","Inside","Straight",,"None","0","Unfortunately (IRE)","Flat","0","Colt","Concra Girl (IRE)","Footstepsinthesand",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","8th","11","Chicabiddy","3","Easterby, T D","2","Fentiman, Duran","0","126","40",,"0","1 mins 4.71s","64.71","25","0","5","8","Flat","0","0","3","0","1100","0","Novices","held up in rear, driven over 3f out, tailed off over 1f out","9","Inside","Straight",,"None","0","Cable Bay (IRE)","Flat","0","Filly","Street Chic (USA)","Street Cry (IRE)",
"2023-04-19","13:40:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 1)","2yo","Class 5",,"5f ","4050","Good To Soft","9","9th","6.5","Major Kessaar (IRE)","7","Menzies, Rebecca","2","Mason, Joanna","0","131","20",,"0","1 mins 4.71s","64.71","31.5","0","5","9","Flat","0","0","3","0","1100","0","Novices","slowly away and soon detached in rear, tailed off over 2f out","5","Inside","Straight",,"None","0","Kessaar (IRE)","Flat",,"Gelding","Dutch Desire","Dutch Art",
"2023-04-19","14:15:00","Beverley","Welcome To Our New Season EBF Restricted Novice Stakes (GBB Race) (Div 2)","2yo","Class 5",,"5f ","4050","Good To Soft","9","1st",,"East Bank","8","Lidster, Craig","2","Hanagan, Paul","0","133","12",,"0","1 mins 5.84s","65.84",,"0","5","1","Flat","0","0","3","0","1100","0","Novices","prominent, ridden over 1f out where 2 lengths down, stayed on well inside final furlong, led close home","2","Inside","Straight",,"None","0","Aclaim (IRE)","Flat","4050","Colt","Twist Of Magic (IRE)","Arcano (IRE)",
