racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","1st",,"Islandsinthestream (IRE)","2","OBrien, Joseph Patrick","2","McDonogh, D P","0","131","9",,"0","1 mins 26.86s","86.86",,"0","7","1","Flat","0","0","3","0","1540","0","Maiden","dwelt, in touch in rear, progress on outer and pushed along under 2f out, led 1f out, stayed on well final furlong, comfortably","8","None","Right Handed",,"None","0","Wootton Bassett","Undulating","8761","Colt","A Mist Opportunity (AUS)","Foxwedge (AUS)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","2nd","1","School Of Law (IRE)","9","OCallaghan, M D","2","Lee, W J","0","131","2.5","(JFav)","0","1 mins 26.86s","86.86","1","0","7","2","Flat","0","0","3","0","1540","0","Maiden","dwelt, soon mid-division, pushed along 1 1/2f out, ridden and headway into 2nd under 1f out, kept on in 2nd inside final furlong","11","None","Right Handed",,"None","0","Inns Of Court (IRE)","Undulating","2920","Colt","Dover Vision (IRE)","Footstepsinthesand","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","3rd","0.5","Portland (IRE)","8","OBrien, A P","2","Moore, Ryan","0","131","2.5","(JFav)","0","1 mins 26.86s","86.86","1.5","0","7","3","Flat","0","0","3","0","1540","0","Maiden","tracked leaders, pushed along 2f out, ridden in 3rd 1f out, kept on same pace final furlong","10","None","Right Handed",,"None","0","Dubawi (IRE)","Undulating","1460","Colt","Zagitova (IRE)","Galileo (IRE)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","4th","0.75","Chicago Fireball (IRE)","6","Murtagh, J P","2","Coen, Ben M","0","131","11",,"0","1 mins 26.86s","86.86","2.25","0","7","4","Flat","0","0","3","0","1540","0","Maiden","mid-division, briefly short of room under 2f out, soon pushed along, short of room again 1f out, ridden final furlong, kept on without threatening in 4th close home","3","None","Right Handed",,"None","0","Acclamation","Undulating","730","Colt","Shady Sham (IRE)","Shamardal (USA)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","5th","1.5","Meriwether Lewis (USA)","3","OBrien, A P","2","Lordan, W M","0","131","5.5",,"0","1 mins 26.86s","86.86","3.75","0","7","5","Flat","0","0","3","0","1540","0","Maiden","prominent, pushed along and disputed 2nd over 2f out, soon ridden and no impression","9","None","Right Handed",,"None","0","Quality Road (USA)","Undulating","438","Colt","Kissed By Angels (IRE)","Galileo (IRE)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","6th","1.75","Glengarriff (IRE)","1","Browne, W P","2","Harnett, P A","7","124","66",,"0","1 mins 26.86s","86.86","5.5","0","7","6","Flat","0","0","3","0","1540","0","Maiden","in touch towards rear, pushed along 2f out, soon ridden and no impression","5","None","Right Handed",,"46","1","Profitable (IRE)","Undulating","292","Colt","Indulged","Teofilo (IRE)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","7th","0.5","Huxley (IRE)","5","Obrien, Donnacha","2","Ryan, Gavin","0","131","3.5",,"0","1 mins 26.86s","86.86","6","0","7","7","Flat","0","0","3","0","1540","0","Maiden","tracked leaders, disputing 2nd when checked over 2f out, soon pushed along, ridden 1 1/2f out, checked again and dropped to 7th 1f out, no impression","6","None","Right Handed",,"None","0","Galileo (IRE)","Undulating","0","Colt","Strawberry Fledge (USA)","Kingmambo (USA)","0",
"2023-06-07","17:00:00","Curragh","Holden Plant Rentals Irish European Breeders Fund (C & G) Maiden","2yo","Irish",,"7f ","8761","Good","8","8th","2.5","Chandigah (IRE)","4","Bunyan, Darren","2","Hayes, C D","0","131","28",,"0","1 mins 26.86s","86.86","8.5","0","7","8","Flat","0","0","3","0","1540","0","Maiden","led, took keen hold, ridden 2f out, headed 1f out, weakened final furlong","2","None","Right Handed",,"None","0","Churchill (IRE)","Undulating","0","Colt","Inhale","Bated Breath","0",
"2023-06-07","17:30:00","Curragh","Oak Solutions Group Irish European Breeders Fund Race","2yo","Irish",,"6f ","12212","Good","8","1st",,"The Liffey (IRE)","1","OBrien, A P","2","Heffernan, J A","0","131","8",,"0","1 mins 15.94s","75.94",,"0","6","1","Flat","0","0","3","0","1320","0","Non-Handicap","led, joined at halfway, pushed along and strongly pressed 2f out, ridden over 1f out, regained lead inside final furlong, stayed on well, strongly pressed last strides","7","None","Straight",,"None","0","No Nay Never (USA)","Undulating","12212","Colt","Rain Goddess (IRE)","Galileo (IRE)","0",
"2023-06-07","17:30:00","Curragh","Oak Solutions Group Irish European Breeders Fund Race","2yo","Irish",,"6f ","12212","Good","8","2nd","NK","My Mate Alfie (IRE)","6","Lyons, G M","2","Carroll, G F","0","131","22",,"0","1 mins 15.94s","75.94","0.15","0","6","2","Flat","0","0","3","0","1320","0","Non-Handicap","in rear, switched right and pushed along under 2f out, ridden and went 4th 1f out, headway into 3rd close home, 2nd last strides and strongly pressed winner to line","4","None","Straight",,"None","0","Dark Angel (IRE)","Undulating","4071","Colt","Bear Cheek (IRE)","Kodiac","0",
"2023-06-07","17:30:00","Curragh","Oak Solutions Group Irish European Breeders Fund Race","2yo","Irish",,"6f ","12212","Good","8","3rd","0.5","Mythology (IRE)","9","OBrien, Joseph Patrick","2","McMonagle, Dylan B","0","131","4.5",,"0","1 mins 15.94s","75.94","0.65","0","6","3","Flat","0","0","3","0","1320","0","Non-Handicap","dwelt, soon mid-division, checked after 1f, 4th 2f out, soon pushed along, ridden in 3rd 1f out, went 2nd briefly inside final furlong, soon no extra in 3rd","5","None","Straight",,"None","0","Starspangledbanner (AUS)","Undulating","2035","Colt","Rely On Me (IRE)","Kyllachy","0",
"2023-06-07","17:30:00","Curragh","Oak Solutions Group Irish European Breeders Fund Race","2yo","Irish",,"6f ","12212","Good","8","4th","0.75","Alabama (IRE)","5","OBrien, A P","2","Moore, Ryan","0","131","0.53","(Fav)","0","1 mins 15.94s","75.94","1.4","0","6","4","Flat","0","0","3","0","1320","0","Non-Handicap","dwelt, soon prominent, improved to dispute lead at halfway, travelling well 2f out, soon pushed along, ridden 1f out, headed inside final furlong, soon no extra in 4th","1","None","Straight",,"60","1","No Nay Never (USA)","Undulating","1018","Colt","Dream The Blues (IRE)","Oasis Dream","0",
"2023-06-07","17:30:00","Curragh","Oak Solutions Group Irish European Breeders Fund Race","2yo","Irish",,"6f ","12212","Good","8","5th","1.5","Slurricane (IRE)","3","OSullivan, Ross","2","Hayes, C D","0","131","50",,"0","1 mins 15.94s","75.94","2.9","0","6","5","Flat","0","0","3","0","1320","0","Non-Handicap","slowly into stride, rear of mid-division, pushed along in 5th 2f out, soon ridden, kept on same pace final furlong","6","None","Straight",,"None","0","Kodiac","Undulating","611","Colt","Sheikhakan (IRE)","Shamardal (USA)","0",
