racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,
"2022-07-13","13:00:00","Brighton","Download The At The Races App Handicap","3yo+","Class 5",,"5.5f ","3333","Good To Firm","5","1st","DH","Vandad (IRE)","5","Attwater, M J","5","Morris, Luke","0","136","3",,"64","1 mins 2.50s","62.5",,"67","5.5","1","Flat","5.138270015","2.3948952928156357","2","2","1160","0","Handicap","keen led, pushed along 2f out, ridden and joined inside final furlong when short of room, ran on to share spoils, placed first after enquiry","3","Centre","Left Handed","CkPc TT","21","30","Dandy Man (IRE)","Very Undulating","3333",
"2022-07-13","13:00:00","Brighton","Download The At The Races App Handicap","3yo+","Class 5",,"5.5f ","3333","Good To Firm","5","2nd",,"Wiley Post","2","Carroll, A W","9","Watson, Jason","0","139","2.5","(JFav)","67","1 mins 2.50s","62.5",,"67","5.5","2","Flat","3.85","2.0072601887856205","2","2","1160","0","Handicap","keen raced wide, tracked leaders, ridden and edged left from over 1f out, joined winner inside final furlong, ran on to share spoils, placed 2nd after enquiry","2","Centre","Left Handed","Blnk","43","48","Kyllachy","Very Undulating","3333",
"2022-07-13","13:00:00","Brighton","Download The At The Races App Handicap","3yo+","Class 5",,"5.5f ","3333","Good To Firm","5","3rd","1.25","Shamshon (IRE)","3","Williams, S C","11","Atzori, Lorenzo","7","122","6",,"57","1 mins 2.50s","62.5","1.25","67","5.5","3","Flat","7.4","3.16175240539771","2","2","1160","0","Handicap","dwelt, keen close up, headway when bumped over 1f out, kept on one pace","5","Centre","Left Handed",,"13","113","Invincible Spirit (IRE)","Very Undulating","1065",
"2022-07-13","13:00:00","Brighton","Download The At The Races App Handicap","3yo+","Class 5",,"5.5f ","3333","Good To Firm","5","4th","1.25","Haveoneyerself (IRE)","4","Butler, John","7","Fisher, Taylor","7","132","2.5","(JFav)","67","1 mins 2.50s","62.5","2.5","67","5.5","4","Flat","3.55","2.0028419534383275","2","2","1160","0","Handicap","awkwardly away, raced wide close up in rear, pushed along and headway over 1f out, kept on same pace","1","Centre","Left Handed",,"19","44","Requinto (IRE)","Very Undulating","533",
"2022-07-13","13:00:00","Brighton","Download The At The Races App Handicap","3yo+","Class 5",,"5.5f ","3333","Good To Firm","5","PU",,"T Maxie (IRE)","1","Scott, George","3","Keenan, Darragh","0","135","6",,"68","1 mins 2.50s","62.5",,"67","5.5","PU","Flat","8.4","3.8","2","2","1160","0","Handicap","keen tracked winner until lost action over 1f out, soon pulled up","4","Centre","Left Handed"," TT","53","5","Swiss Spirit","Very Undulating",,
"2022-07-13","13:35:00","Brighton","At The Races App Market Movers Maiden Stakes (GBB Race)","3yo+","Class 5",,"5.5f ","4320","Good To Firm","4","1st",,"Hattie C","1","Harris, R A","3","Watson, Jason","0","128","2.25",,"53","1 mins 2.32s","62.32",,"26.5","5.5","1","Flat","3.1319183247191305","1.3483707259838658","1","2","1160","0","Maiden","chased clear leader, closed entering final furlong, soon led, ran on","5","Centre","Left Handed",,"5","15","Heeraat (IRE)","Very Undulating","4320",
"2022-07-13","13:35:00","Brighton","At The Races App Market Movers Maiden Stakes (GBB Race)","3yo+","Class 5",,"5.5f ","4320","Good To Firm","4","2nd","9.5","Shawaag (IRE)","5","Brown, Andi","3","Egan, John","0","133","5",,"0","1 mins 2.32s","62.32","9.5","26.5","5.5","2","Flat","6.781425497","2.56319577710989","1","2","1160","0","Maiden","keen led and soon 6 lengths clear, pushed along and reduced lead entering final furlong, soon headed, tired towards finish","2","Centre","Left Handed",,"None","0","Kodiac","Very Undulating","2028",
"2022-07-13","13:35:00","Brighton","At The Races App Market Movers Maiden Stakes (GBB Race)","3yo+","Class 5",,"5.5f ","4320","Good To Firm","4","3rd","1.25","Elementofsurprise","6","Bridger, J J","3","Rooke, George","0","128","150",,"0","1 mins 2.32s","62.32","10.75","26.5","5.5","3","Flat","224.825108732","33.776418523738414","1","2","1160","0","Maiden","outpaced and behind, kept on final furlong","4","Centre","Left Handed",,"36","2","Eastern Anthem (IRE)","Very Undulating","1014",
"2022-07-13","13:35:00","Brighton","At The Races App Market Movers Maiden Stakes (GBB Race)","3yo+","Class 5",,"5.5f ","4320","Good To Firm","4","4th","7.5","True Horizon (IRE)","4","Williams, S C","3","Probert, David","0","128","0.67","(Fav)","75","1 mins 2.32s","62.32","18.25","26.5","5.5","4","Flat","1.9648629157035247","1.2258831612280754","1","2","1160","0","Maiden","chased leaders, pushed along and struggling from halfway, tailed off","6","Centre","Left Handed"," TT","269","3","Lope De Vega (IRE)","Very Undulating","507",
"2022-07-13","14:10:00","Brighton","At The Races App Form Study Nursery","2yo","Class 5",,"5.5f ","4536","Good To Firm","4","1st",,"Puffable","1","Beckett, R M","2","Crouch, Hector","0","130","3",,"65","1 mins 2.34s","62.34",,"65.5","5.5","1","Flat","4.886495882","1.9507976414693984","1","2","1160","0","Handicap Nursery","tracked leaders, switched right over 1f out to chase leader, led inside final furlong, ran on, readily","3","Centre","Left Handed",,"18","3","Kodiac","Very Undulating","4536",
"2022-07-13","14:10:00","Brighton","At The Races App Form Study Nursery","2yo","Class 5",,"5.5f ","4536","Good To Firm","4","2nd","3","Grace Angel","4","Holland, Darryll","2","Probert, David","0","135","1.5","(JFav)","70","1 mins 2.34s","62.34","3","65.5","5.5","2","Flat","2.5","1.45","1","2","1160","0","Handicap Nursery","went right start, soon led, ridden and headed inside final furlong","1","Centre","Left Handed"," TT","30","4","Harry Angel (IRE)","Very Undulating","2129",
"2022-07-13","14:10:00","Brighton","At The Races App Form Study Nursery","2yo","Class 5",,"5.5f ","4536","Good To Firm","4","3rd","1","Rock Girl (IRE)","2","Boughey, George","2","Turner, Hayley","0","131","1.5","(JFav)","66","1 mins 2.34s","62.34","4","65.5","5.5","3","Flat","2.9","1.466283888","1","2","1160","0","Handicap Nursery","tracked leader, pushed along over 2f out, ridden over 1f out, kept on same pace","2","Centre","Left Handed",,"7","4","Profitable (IRE)","Very Undulating","1065",
"2022-07-13","14:10:00","Brighton","At The Races App Form Study Nursery","2yo","Class 5",,"5.5f ","4536","Good To Firm","4","4th","1.25","Wedgewood","3","Carroll, A W","2","Morris, Luke","0","114","25",,"49","1 mins 2.34s","62.34","5.25","65.5","5.5","4","Flat","41.03372076411382","10.564139527468411","1","2","1160","0","Handicap Nursery","raced wide close up, pushed along over 1f out, no impression","4","Centre","Left Handed",,"43","3","Outstrip","Very Undulating","533",
