racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","1st",,"Afadil (FR)","0","Nicholls, P F","4","Cobden, Harry","0","155","4.5",,"122","3 mins 42.97s","222.97",,"117","16","1","National Hunt","6.52617214","2.54","3","3","3520","30","Handicap Hurdle","mid-division, headway after 3 out, challenging when mistake 2 out, led last, stayed on well, clear towards finish","10","None","Left Handed",,"19","5","Camelot","Flat","9506","Gelding","Afsheen (FR)","Invincible Spirit (IRE)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","2nd","2","Bythesametoken (IRE)","0","OSullivan, Ross","9","Dunne, R T","0","158","50",,"117","3 mins 42.97s","222.97","2","117","16","2","National Hunt","98.2783973","20.54704882","3","3","3520","30","Handicap Hurdle","held up towards rear, headway 3 out, stayed on flat, went 2nd towards finish, unable to trouble winner","6","None","Left Handed"," TT","47","38","Fame And Glory","Flat","4374","Gelding","Moscow Mo Chuisle (IRE)","Moscow Society (USA)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","3rd","1.25","Traprain Law (FR)","0","Russell, Miss Lucinda V","5","Wadge, P","5","155","2.5","(Fav)","119","3 mins 42.97s","222.97","3.25","117","16","3","National Hunt","4.2","1.76721095","3","3","3520","30","Handicap Hurdle","led after 1st, headed and mistake last, lost 2nd towards finish","5","None","Left Handed"," TT","41","6","Martaline","Flat","2187","Gelding","Pina (FR)","Kapgarde (FR)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","4th","1.25","Scots Poet","0","Whillans, Ewan","7","Nichol, Craig","0","144","9",,"103","3 mins 42.97s","222.97","4.5","117","16","4","National Hunt","13.40515061","3.7","3","3","3520","30","Handicap Hurdle","held up in rear, headway when not fluent 3 out, mistake 2 out, stayed on, went 4th close home","13","None","Left Handed"," TT","28","14","Yeats (IRE)","Flat","1094","Gelding","Blue Nymph","Selkirk (USA)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","5th","SH","Caroles Pass (FR)","0","Murphy, Amy","5","Quinlan, Jack","0","167","33",,"126","3 mins 42.97s","222.97","4.55","117","16","5","National Hunt","44.78773715","12","3","3","3520","30","Handicap Hurdle","prominent, ridden 3 out, held last, no extra towards finish","2","None","Left Handed","CkPc","146","3","Authorized (IRE)","Flat","545","Mare","Caroles Spirit","Hernando (FR)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","6th","2.25","First Impression (IRE)","0","Quinn, J J","6","Brooke, Henry","0","168","18",,"127","3 mins 42.97s","222.97","6.8","117","16","6","National Hunt","22.6090071","6.32111179","3","3","3520","30","Handicap Hurdle","mid-division, headway 3 out, ridden before 2 out, no impression flat","1","None","Left Handed",,"35","36","Make Believe","Flat","0","Gelding","Charmgoer (USA)","Nureyev (USA)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","7th","0.75","War Soldier (IRE)","0","Thomson, A M","6","Mania, Ryan","0","162","9",,"121","3 mins 42.97s","222.97","7.55","117","16","7","National Hunt","12.5","4.14053912","3","3","3520","30","Handicap Hurdle","chased leaders, outpaced 3 out, no impression 2 out","4","None","Left Handed",,"34","7","Soldier Of Fortune (IRE)","Flat","0","Gelding","After Dark (IRE)","Kings Theatre (IRE)",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","8th","0.75","Shelikesthelights (IRE)","0","OBrien, Fergal","5","Brennan, P J","0","149","3",,"108","3 mins 42.97s","222.97","8.3","117","16","8","National Hunt","4.4","1.89821536","3","3","3520","30","Handicap Hurdle","not always fluent, tracked leaders, pecked 1st, challenged after 6th until last, weakened flat","12","None","Left Handed"," TT","9","6","Kayf Tara","Flat","0","Mare","Unify","Midnight Legend",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","9th","6.5","Rattle Owl","0","OKeeffe, Jedd","7","OFarrell, C","0","157","33",,"116","3 mins 42.97s","222.97","14.8","117","16","9","National Hunt","64.51609522","14","3","3","3520","30","Handicap Hurdle","in rear, well beaten 3 out, mistake 2 out, never involved","7","None","Left Handed",,"477","9","Kayf Tara","Flat",,"Gelding","Rattlin","Bollin Eric",
"2023-04-21","13:15:00","Ayr","Remus Uomo Handicap Hurdle","4yo+","Class 3",,"2m ","9506","Good To Soft","15","10th","NK","Well Educated (IRE)","0","Bewley, G T","7","Bewley, Jonathon","3","154","33",,"116","3 mins 42.97s","222.97","14.95","117","16","10","National Hunt","60.33681184","11.0570727","3","3","3520","30","Handicap Hurdle","mid-division, headway on outside before 5th, outpaced 3 out, well held 2 out","8","None","Left Handed",,"28","17","Getaway (GER)","Flat",,"Gelding","Collegeofknowledge","Presenting",
