time,track,number_of_runners,CardNo,horse_name,todayor,lastwinoffrat,offratlr,offrat2,offrat3,offrat4,offrat5,offrat6,offrat7,offrat8,offrat9,offrat10,ormove10,minlr,min2,min3,min4,min5,min6,min7,min8,min9,min10,avglr,avg2,avg3,avg4,avg5,avg6,avg7,avg8,avg9,avg10,maxlr,max2,max3,max4,max5,max6,max7,max8,max9,max10,winlr,win2,win3,win4,win5,win6,win7,win8,win9,win10,placing1,placing2,placing3,placing4,placing5,placing6,placing7,placing8,placing9,placing10,runnerslr,runners2,runners3,runners4,runners5,runners6,runners7,runners8,runners9,runners10,racetypelr,racetype2,racetype3,racetype4,racetype5,racetype6,racetype7,racetype8,racetype9,racetype10,highor,highwinor,highflator,highflatwinor,highawor,highawwinor,highhurdleor,highhurdlewinor,highchaseor,highchasewinor,
"14:00:00","Leicester","7","3","Almodovar Del Rio (IRE)","62","62","63","64","65","65","62","61","63","64","64","64","-3","52","53","60","50","52","46","58","64","59","54","61","60","63","61","57","54","65","68","63","62","67","67","65","65","62","61","72","70","67","66","60","64","64","60","62","52","70","68","59","62","4","3","4","5","1","2","5","4","9","2","7","9","12","11","9","10","9","6","9","10","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","67","62","64","62","67",,,,,,
"14:00:00","Leicester","7","8","Alyas Gold Award (IRE)","46",,"44","46","46","50","55","58","60","62","64","0","-18","40","46","46","44","46","58","0","57","48","0","47","54","55","46","50","67","30","62","58","8","50","60","61","50","55","70","62","65","66","82","46","57","58","49","54","69","0","65","66","0","10","4","7","8","9","8","4","5","9","6","12","8","8","10","9","8","6","10","12","10","Non-Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Non-Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Maiden (Flat - AW)","Handicap Nursery (Flat - AW)","Handicap Nursery (Flat - AW)","Novices (Flat - AW)","64",,"0",,"64",,,,,,
"14:00:00","Leicester","7","2","Gilt Edge","62","72","65","67","67","67","69","69","70","72","73","74","-12","56","52","48","67","50","55","70","58","62","59","67","68","60","75","65","67","77","68","69","70","74","72","67","85","73","74","81","75","74","78","69","69","55","73","73","71","80","58","62","59","6","7","6","2","3","5","3","7","8","4","11","12","10","7","7","10","7","12","8","6","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","74","72","74","72","72",,,,,,
"14:00:00","Leicester","7","6","Hurt You Never (IRE)","53","48","48","49","50","50","48","50","52","53","53","54","-1","46","46","50","46","33","36","46","46","46","46","53","52","56","51","46","46","50","51","56","58","61","61","64","57","50","50","57","56","67","66","48","46","64","56","48","50","46","56","60","64","1","3","9","2","1","11","7","4","3","6","9","20","15","8","8","12","8","10","14","12","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Non-Handicap (Flat - AW)","Non-Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - Turf)","56","52","56","52","56","48",,,,,
"14:00:00","Leicester","7","1","Jupiter Express (IRE)","66","64","67","69","69","68","68","64","61","61","62","62","-3","55","63","61","68","61","57","46","61","53","54","64","68","70","77","71","68","55","71","59","63","68","72","75","80","76","75","61","77","62","67","65","63","74","80","76","64","58","71","62","65","7","4","5","4","2","1","2","7","1","3","10","6","9","8","7","10","8","10","10","8","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","71","64","71",,"68","64",,,,,
"14:00:00","Leicester","7","7","Landing Strip","46",,"48","0","0","0","0","0","0","0","0","0","-2","46","0","0","0",,,,,,,"51","9","6","12",,,,,,,"57","78","75","71",,,,,,,"48","78","75","0",,,,,,,"11","9","11","9","0","0","0","0","0","0","12","9","12","12","0","0","0","0","0","0","Handicap (Flat - Turf)","Novices (Flat - AW)","Maiden (Flat - AW)","Novices (Flat - AW)","n/a","n/a","n/a","n/a","n/a","n/a","48",,"48",,"0",,,,,,
"14:00:00","Leicester","7","5","Port Noir","55","52","52","52","54","57","59","60","60","61","60","61","-6","46","45","46","57","59","46","55","46","56","51","56","49","52","62","71","59","58","58","58","63","62","54","59","71","77","67","60","65","60","71","52","48","47","68","70","51","59","57","56","67","1","8","8","7","7","9","3","8","2","6","8","10","9","7","7","11","10","12","11","11","Handicap (Flat - Turf)","Handicap (Flat - Turf)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","Handicap (Flat - AW)","69","64","69","57","69","64",,,,,
"14:30:00","Leicester","15","1","Alfred (FR)","0",,,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",,,,,,,,,,,
"14:30:00","Leicester","15","2","Anonymous Guest","0",,,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",,,,,,,,,,,
"14:30:00","Leicester","15","10","Bits And Bobs (IRE)","0",,,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",,,,,,,,,,,
