Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,RaceCode,RaceType,LR_Placing,Horse_Season_Runs,TodayDistance_Yards,Max_DistanceYards_Run,Max_DistanceYards_Win,SameDistance_Wins,GreaterDistance_Wins,LesserDistance_Wins,LR_Track,HorseRuns_365days,
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","1","Arecibo (FR)","8","Ghiani, Marco","0","Cowell, R M H","6","101","133","25.00","6282208","20","CkPc","Invincible Spirit (IRE)","Oceanique (USA)","Gelding","D","0","Flat","Non-Handicap","Eighth","3","1100","1320","1100","3","0","0","Naas","9",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","2","Clarendon House","5","Callan, N","0","Cowell, R M H","2","103","133","10.00","6160253","7",,"Mehmas (IRE)","Walaaa (IRE)","Horse","D","0","Flat","Non-Handicap","Third","2","1100","1210","1210","4","1","0","Epsom","6",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","3","Equilateral","8","Dettori, L","0","Hills, Charles","10","107","133","3.50","3563872","14",,"Equiano (FR)","Tarentaise","Gelding","D","0","Flat","Non-Handicap","Second","1","1100","1320","1320","3","1","0","Haydock","6",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","4","Fine Wine (FR)","6","McDonald, P J","0","Dixon, Scott","3","102","133","16.00","1011273","14","Blnk","Dream Ahead (USA)","Mulled Wine (FR)","Gelding","D","0","Flat","Non-Handicap","Third","1","1100","1320","1100","7","0","0","York","5",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","5","Korker (IRE)","4","Lee, Clifford","0","Burke, K R","4","103","133","6.50","3827020","14",,"Dandy Man (IRE)","Adaptation","Gelding","CD","0","Flat","Non-Handicap","Eleventh","3","1100","1320","1100","4","0","0","York","8",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","6","Mondammej","6","Hardie, Cameron","0","Brittain, Antony","7","96","133","14.00","2000542","14","Hood","Lope De Vega (IRE)","Lamps Of Heaven (IRE)","Gelding","CD","0","Flat","Non-Handicap","Second","3","1100","1320","1320","5","1","0","York","8",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","7","Raasel","6","Doyle, James","0","Appleby, M","1","103","133","5.00","1128740","14",,"Showcasing","Dubai Affair","Gelding","CD","0","Flat","Non-Handicap","Tenth","2","1100","1320","1100","9","0","0","Haydock","6",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","8","Regional","5","Rodriguez, Callum","0","Bethell, Ed","5","105","133","4.50","4623051","23"," TT","Territories (IRE)","Favulusa","Gelding","C D","0","Flat","Non-Handicap","First","1","1100","1320","1320","2","1","0","York","5",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","9","Prince Of Pillo (IRE)","3","Moore, Ryan","0","Dalgleish, Keith","8","104","129","6.50","11413","246",,"Prince Of Lir (IRE)","Lucky Omen (IRE)","Colt","D","0","Flat","Non-Handicap","Third","0","1100","1320","1320","2","1","0","Newmarket (Rowley)","5",
"2023-06-10","13:15:00","Haydock","Sky Bet Achilles Stakes (Listed)","5f ","5","Listed Race","Good To Firm","28355","10","Straight","10","Makarova","4","Marquand, Tom","0","Walker, Ed","9","93","128","20.00","2272256","15"," TT","Acclamation","Vesnina","Filly",,"0","Flat","Non-Handicap","Sixth","2","1100","1540","1320","0","2","0","Haydock","8",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","1","Letaba","3","Orr, Oisin","0","Dunlop, E A L","6","0","132","11.00","'U63","6",,"Muhaarar","Shingwedzi (SAF)","Gelding",,"0","Flat","Maiden","Third","3","1650","2200","0","0","0","0","Nottingham","3",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","2","Rogue Soldier (IRE)","3","Tudhope, Daniel","0","Clover, Tom","8","0","132","11.00","54","30",,"No Nay Never (USA)","Dolcissimo (IRE)","Gelding",,"0","Flat","Maiden","Fourth","2","1650","1540","0","0","0","0","Southwell","2",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","3","Onemorenomore","3","McHugh, B","0","McBride, P J","4","0","130","28.00","55","6",,"Mukhadram","Euro Empire (USA)","Gelding",,"0","Flat","Maiden","Fifth","2","1650","2200","0","0","0","0","Nottingham","2",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","4","Secret Joy (IRE)","3","Gray, S A","0","Easterby, M W","2","0","130","100.00","'09","236",,"Camacho","Cape Joy (IRE)","Colt",,"0","Flat","Maiden","Ninth","0","1650","1320","0","0","0","0","Pontefract","2",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","5","Leap Day","3","Allan, David","0","Easterby, T D","1","75","128","2.50","3362","10",,"Gregorian (IRE)","Yearbook","Gelding",,"0","Flat","Maiden","Second","3","1650","1650","0","0","0","0","Beverley","4",
"2023-06-10","13:30:00","Beverley","bet365 Very British Raceday Restricted Maiden Stakes (GBB Race)","7.5f ","7.5","Class 5","Good To Firm","4320","8","Right Handed","6","Abbadia (IRE)","3","Stott, Kevin","0","Boughey, George","7","71","127","3.50","56426","22","CkPc","Mastercraftsman (IRE)","Orcia (IRE)","Filly",,"0","Flat","Maiden","Sixth","3","1650","2200","0","0","0","0","Newmarket (Rowley)","5",
