time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,
"13:15:00","Haydock","Arecibo (FR)","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","6","Cowell, R M H","8","133","Ghiani, Marco","0","Non Fav","101","25.00","1","68.15074999999999","33.01828965","25.651774999999997","3.4076","0.5551999999999999","173.85788455000002","20","30","3","10","61","7","11","317","44","14","993","145","15","23","5","22","13","1","8","9","2","22","30","3","10","251","20","8","564","47","8","7","0","0","6282208","(FR)","0","Male","Invincible Spirit (IRE)","Eighth","Thirteenth","103","103","103","101","7","7","0","8","Naas","Irish","26549","5f ","10","12.00","135","35","Newmarket (Rowley)","Class 1","45368","5f ","14","16.00","135","60","Pontefract","Class 2","15462","5f ","8","9.00","Second","43","3","Listed","G3",,"Good","Soft","Soft","Oceanique (USA)","Cheekpieces","Cheekpieces","40","67","29","12","0","0","191","Joint Second","2.75","7.28","14","1","4","0","33","Centre","Flat","Gelding","19","16","0","16","0","103","102","7","1","Flat","12","10","12","6","10","12","15","16.00","20.00","Forest Wildcat (USA)","Newmarket (Rowley)","5f ","2.13","Soft","99","0","0","0","3","2","17","0","18","3","0","2","0","67","31","3","13","10","42","3","0","2","0","5","0","2","2023-06-10",
"13:15:00","Haydock","Clarendon House","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","2","Cowell, R M H","5","133","Callan, N","0","Non Fav","103","10.00","2","109.995","43.353","22.206566","4.6521","0.8069999999999999","222.50741215000002","7","52","8","15","89","17","19","515","79","15","754","110","15","16","3","19","26","7","27","9","2","22","30","3","10","251","20","8","564","47","8","7","0","0","6160253","(GB)","-2","Male","Mehmas (IRE)","Third","Fifth","100","102","103","105","33","36","0","25","Epsom","Class 2","50960","5f ","20","6.50","131","23","York","Class 2","18039","5f ","13","6.00","133","263","Beverley","Class 2","10308","5f ","6","3.50","Second","14","5",,,,"Good To Firm","Good","Good","Walaaa (IRE)","None","None","0","0","67","14","5","36","191","Joint Second","0.75","0.15","6","2","4","0","0","Centre","Flat","Horse","14","7","3","7","3","103","102","8","5","Flat","10","17","11","18","10","13","8","8.00","8.00","Exceed And Excel (AUS)","Beverley","5f ","1.25","Good To Firm","104","0","0","0","2","5","14","0","9","1","0","0","0","0","13","4","8","31","62","1","0","0","0","1","0","0","2023-06-10",
"13:15:00","Haydock","Equilateral","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","10","Hills, Charles","8","133","Dettori, L","0","Fav","107","3.50","3","137.5467","28.7916282","20.39979","4.1656","1.4152999999999998","239.06530129000004","14","10","6","60","22","9","41","179","35","20","383","77","20","8","0","0","12","3","25","20","2","10","48","6","13","412","63","15","892","149","17","38","8","21","3563872","(GB)","2","Male","Equiano (FR)","Second","Seventh","105","107","107","108","25","15","25","12","Haydock","Class 1","70888","5f ","13","20.00","132","276","Doncaster","Class 1","34026","5f ","8","2.75","141","316","Goodwood","Class 1","170130","5f ","11","14.00","Eighth","26","4","G2","Listed","G2","Good To Firm","Good","Good To Firm","Tarentaise","None","None","50","100","42","26","4","15","170","Clear Fifth","0.50","1.00","12","3","5","0","0","Centre","Flat","Gelding","26","26","4","26","4","103","102","2","1","Flat","8","20","5","14","0","6","6","3.00","3.50","Oasis Dream","Doncaster","5f ","2.25","Good To Firm","108","1","2","0","1","4","25","0","9","1","0","1","0","100","19","3","7","16","37","1","0","1","0","4","1","2","2023-06-10",
"13:15:00","Haydock","Fine Wine (FR)","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","3","Dixon, Scott","6","133","McDonald, P J","0","Non Fav","102","16.00","4","104.1","27.90936","24.368125","3.9446000000000003","0.6417000000000002","206.287674","14","26","1","4","58","6","10","557","69","12","1125","130","12","7","0","0","67","8","12","12","0","0","37","0","0","462","34","7","860","59","7","6","1","17","1011273","(FR)","-2","Male","Dream Ahead (USA)","Third","Seventh","102","103","103","99","0","27","0","30","York","Class 2","25770","5f ","14","6.50","137","116","Newcastle","Class 2","13190","6f ","8","14.00","133","160","Southwell","Class 2","12988","5f ","7","3.33","Second","26","7",,,,"Good To Firm","Standard","Standard","Mulled Wine (FR)","Blinkers","Blinkers","0","0","100","26","7","27","110","Clear Eighth","0.15","0.90","1","0","1","0","33","Centre","Flat","Gelding","26","1","1","1","1","103","102","2","0","Flat","12","12","20","0","0","9","8","12.00","11.00","Night Shift (USA)","Newcastle","5f ","9.00","Standard To Slow","99","0","0","0","1","7","8","0","14","0","0","0","0","0","23","7","14","30","61","0","0","0","0","0","0","0","2023-06-10",
"13:15:00","Haydock","Korker (IRE)","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","4","Burke, K R","4","133","Lee, Clifford","0","Non Fav","103","6.50","5","71.91","49.0815","20.251345999999995","7.1331999999999995","1.5383999999999998","189.91871835999996","14","27","4","15","52","7","13","616","76","12","1067","140","13","596","91","15","57","6","11","32","5","16","82","11","13","756","102","13","1538","216","14","76","12","16","3827020","(IRE)","0","Male","Dandy Man (IRE)","Eleventh","Second","103","100","102","103","22","22","0","22","York","Class 2","25770","5f ","14","3.33","138","23","York","Class 2","18039","5f ","13","6.50","131","35","Newmarket (Rowley)","Class 1","45368","5f ","14","28.00","Tenth","18","4",,,"G3","Good To Firm","Good","Soft","Adaptation","None","None","33","100","44","18","4","22","100","Clear Ninth","1.25","4.58","9","2","4","0","33","Centre","Flat","Gelding","18","10","2","10","2","103","102","4","2","Flat","9","10","10","6","5","10","11","8.00","7.00","Spectrum (IRE)","York","5f ","4.00","Good","95","0","13","3","3","4","18","0","9","2","1","2","50","100","16","4","8","25","50","2","1","2","50","3","0","1","2023-06-10",
"13:15:00","Haydock","Mondammej","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","7","Brittain, Antony","6","133","Hardie, Cameron","0","Non Fav","96","14.00","6","107.52499999999999","42.621750000000006","20.502150000000004","7.014899999999999","0.6859999999999999","215.219710025","14","33","2","6","84","5","6","759","33","4","1532","74","5","429","19","4","27","2","7","8","0","0","13","0","0","290","23","8","629","48","8","7","2","29","2000542","(GB)","0","Male","Lope De Vega (IRE)","Second","Fourth","95","97","99","101","43","17","0","10","York","Class 2","25770","5f ","14","6.50","130","23","York","Class 2","18039","5f ","13","14.00","128","42","Ripon","Class 2","15462","5f ","10","14.00","Fifth","35","6",,,,"Good To Firm","Good","Soft","Lamps Of Heaven (IRE)","Hood","Hood","50","67","71","33","5","15","50","Clear Bottom","0.15","0.75","7","3","5","0","33","Centre","Flat","Gelding","35","11","1","11","1","103","102","5","2","Flat","14","6","8","10","8","13","15","14.00","14.00","Invincible Spirit (IRE)","Wolverhampton","5f ","1.10","Standard","97","0","35","6","3","6","22","0","16","3","2","2","67","67","23","5","14","22","61","3","2","2","67","4","0","2","2023-06-10",
"13:15:00","Haydock","Raasel","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","1","Appleby, M","6","133","Doyle, James","0","Non Fav","103","5.00","7","88.34779999999999","53.19311354999999","29.689708000000003","8.2996","1.5280999999999998","232.40832224999994","14","41","8","20","83","14","17","434","82","19","1051","201","19","21","6","29","36","7","19","44","6","14","67","6","9","901","108","12","1815","227","13","25","3","12","1128740","(GB)","-2","Male","Showcasing","Tenth","Fourth","104","104","108","109","25","45","100","47","Haydock","Class 1","70888","5f ","13","16.00","132","35","Newmarket (Rowley)","Class 1","45368","5f ","14","12.00","135","272","Curragh","Irish","212389","5f ","19","12.00","Seventh","20","9","G2","G3","G1","Good To Firm","Soft","Soft","Dubai Affair","None","None","100","50","50","11","3","27","116","Clear Seventh","0.75","8.10","4","1","2","0","0","Centre","Flat","Gelding","18","10","3","10","3","103","102","8","6","Flat","10","9","10","15","18","9","9","7.00","5.50","Dubawi (IRE)","Sandown","5f ","2.50","Good To Firm","108","2","8","5","2","8","15","0","12","2","1","1","50","50","19","9","12","47","63","2","1","1","50","1","1","1","2023-06-10",
"13:15:00","Haydock","Regional","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","5","Bethell, Ed","5","133","Rodriguez, Callum","0","Non Fav","105","4.50","8","121.6","29.5774848","16.0852","7.6532","1.4063","217.08538604999995","23","24","3","13","53","9","17","369","53","14","867","119","14","53","15","28","13","1","8","9","2","22","26","7","27","219","38","17","372","57","15","24","5","21","4623051","(GB)","0","Male","Territories (IRE)","First","Fifth","100","102","103","100","50","23","0","22","York","Class 2","18039","5f ","13","5.00","131","248","Kempton","Class 2","12885","6f ","7","16.00","130","294","York","Class 2","51540","6f ","17","9.00","Thirteenth","13","3",,,,"Good","Standard To Slow","Good To Firm","Favulusa","None","None","0","0","75","13","3","23","121","Clear Sixth","0.50",,"4","2","3","0","22","Centre","Flat","Gelding","10","5","1","5","1","103","102","2","1","Flat","11","13","15","25","7","13","16","3.50","4.50","Dansili","York","5f ","5.00","Good","100","0","1","1","1","2","7","0","7","1","1","1","100","100","5","2","3","40","60","0","0","0","0","2","0","0","2023-06-10",
"13:15:00","Haydock","Prince Of Pillo (IRE)","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","8","Dalgleish, Keith","3","129","Moore, Ryan","0","Non Fav","104","6.50","9","110.67466600000002","54.921240000000004","24.100639","7.449999999999999","1.6278000000000001","246.2126913312","246","29","11","38","72","24","33","480","112","23","1024","223","22","1","0","0","1","0","0","17","4","24","39","9","23","495","44","9","1188","131","11","25","0","0","11413","(IRE)","2","Male","Prince Of Lir (IRE)","Third","First","105","94","94","0","100","60","100","60","Newmarket (Rowley)","Class 1","34026","5f ","11","1.75","129","267","Ayr","Class 1","20132","5f ","11","4.50","131","272","Doncaster","Class 1","65216","5f ","8","12.00","Fourth","5","3","G3","Listed","G2","Good","Good","Soft","Lucky Omen (IRE)","None","None","100","0","100","5","3","60","199","Clear Top","0.10","1.25","1","1","1","0","17","Centre","Flat","Colt","5","5","3","5","3","103","102","2","2","Flat","10","13","14","25","11","17","17","6.00","6.00","Majestic Missile (IRE)","Ayr","5f ","4.50","Good","94","1","0","0","0","3","5","0","4","0","0","0","0","0","4","2","3","50","75","0","0","0","0","1","1","1","2023-06-10",
"13:15:00","Haydock","Makarova","Sky Bet Achilles Stakes (Listed)","Class 1","3yo+","Listed Race","Non-Handicap","5f ","28355","Good To Firm","10","Flat","107","Straight","9","Walker, Ed","4","128","Marquand, Tom","0","Non Fav","93","20.00","10","81.43875","39.8668896","27.172556999999998","2.6998","1.3701999999999999","188.08624259999996","15","62","6","10","126","17","13","733","104","14","1877","289","15","146","21","14","70","11","16","24","3","13","58","9","16","421","47","11","793","102","13","62","9","15","2272256","(GB)","2","Female","Acclamation","Sixth","Fifth","93","93","86","85","33","15","0","20","Haydock","Class 1","28355","6f ","9","4.00","133","35","Newmarket (Rowley)","Class 1","34026","6f ","10","12.00","134","245","Newmarket (Rowley)","Class 1","29489","6f ","14","66.00","Second","13","2","Listed","Listed","Listed","Good To Firm","Good To Soft","Good","Vesnina","None","None","33","0","33","13","2","15","171","Clear Fourth","2.25","5.85","3","1","1","0","0","Centre","Flat","Filly","13","6","0","6","0","103","102","5","2","Flat","7","7","5","6","7","6","7","25.00","20.00","Sea The Stars (IRE)","Salisbury","6f ","2.75","Good","75","0","2","1","2","2","10","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","2023-06-10",
