time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,
"13:50:00","Newton Abbot","Basford (IRE)","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Candlish, Jennie","6","163","Quinlan, Sean","0","Fav","105","0.57","1","99.99","31.577579999999998","18.4272","10.936900000000001","0.8180000000000001","195.31004967200005","7","20","5","25","51","9","18","558","70","13","1184","152","13","287","32","11","0","0","0","9","3","33","22","4","18","248","25","10","509","51","10","1","1","100","7222221","(IRE)","0","Male","Soldier Of Fortune (IRE)","First","Second","105","105","105","102","50","15","33","9","Newton Abbot","Class 4","4955","2m6f ","8","0.20","158","19","Aintree","Class 4","4357","2m4f ","4","0.83","158","107","Carlisle","Class 5","3433","3m1½f ","9","2.00","Second","13","2",,,,"Good","Good","Good To Soft","Be My Present","Cheekpieces","Cheekpieces","67","100","50","5","1","20","223","Clear Top","8.00",,"2","1","1","0","0","None","Flat","Gelding","13","9","2","5","1","0","45","3","1","Hurdle","8","10","21","25","11","13","9","0.91","0.67","Presenting","Newton Abbot","2m6f ","0.20","Good","105","1","9","1","2","2","13","0","7","1","1","1","100","100","1","1","1","100","100","1","1","1","100","3","1","2","2023-06-07",
"13:50:00","Newton Abbot","Afta Party (IRE)","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Hosie, Syd","5","156","Nolan, Michael G","0","Non Fav","98","12.00","2","41.612","20.550330000000002","14.064414999999997","1.384","1.0271000000000001","107.07265525","14","9","2","22","24","4","17","241","21","9","362","35","10","2","1","50","24","5","21","11","2","18","20","4","20","107","10","9","125","13","10","15","2","13","23144F7","(IRE)","0","Male","Mastercraftsman (IRE)","Seventh","Fell","98","100","0","0","0","5","0","0","Warwick","Class 5","3961","2m ","7","16.00","168","151","Wincanton","Class 5","4225","1m7½f ","17","7.00","159","168","Taunton","Class 4","4901","2m3½f ","9","28.00","Fourth","19","1",,,,"Good","Good To Soft","Good","Wood Fairy","Hood","None","20","0","0","6","1","17","68","Clear Third",,"96.25","6","0","0","100","100","None","Flat","Gelding","4","5","0","2","0","0","45","5","1","Hurdle","10","17","0","0","10","13","8","12.00","8.00","Haafhd","Windsor","1m ","4.00","Soft","65","0","0","0","1","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","2023-06-07",
"13:50:00","Newton Abbot","Farnon (IRE)","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Hurley, Laura","6","156","Best, J A","0","Non Fav","0","50.00","4","40.7035616","0","0","0.7","0.1477","87.56663798880001","127","14","0","0","25","0","0","296","11","4","698","44","6","7","1","14","44","3","7","1","0","0","2","0","0","10","0","0","44","1","2","8","1","13","8","(IRE)","0","Male","Arctic Cosmos (USA)","Eighth","No Run","0",,,,"0","0","0","0","Newcastle","Class 5","2614","2m½f ","14","50.00","157","No Prev",,,,,,,,"No Prev",,,,,,,"No Run","1","0",,"No Run","No Run","Standard To Slow",,,"Arts And Music (IRE)","None","None","0","0","0","1","0","0","33","Clear Fifth","3.50","30.50","0","0","0","0","11","None","Flat","Gelding","0","1","0","0","0","0","45","0","0","Hurdle","8","9","50","0","9","8","12","50.00","50.00","Zagreb (USA)",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-06-07",
"13:50:00","Newton Abbot","Nuova Vita","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Gundry, Miss Polly","7","156","Kimber, Harry","3","Non Fav","0","66.00","5","39.13612","0","0","0.7","0.2297","84.30920366000001","12","8","2","25","19","2","11","194","30","15","301","46","15","3","0","0","48","12","25","1","0","0","4","0","0","38","0","0","86","3","3","8","1","13","5","(GB)","0","Male","Alkaased (USA)","Fifth","No Run","0",,,,"0","0","0","0","Worcester","Class 4","4357","3m ","5","28.00","149","No Prev",,,,,,,,"No Prev",,,,,,,"No Run","1","0",,"No Run","No Run","Good",,,"Eau De Vie","None","None","0","0","0","1","0","0","28","Clear Bottom",,"109.00","1","0","0","0","0","None","Flat","Gelding","1","1","0","1","0","0","45","1","0","Hurdle","6","20","0","0","0","0","25","50.00","66.00","Terimon",,,,,,"0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2023-06-07",
"13:50:00","Newton Abbot","Kylenoe Dancer","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Henderson, P","5","149","Houlihan, Sean M","0","Non Fav","65","18.00","6","70.19200000000001","20.558149919999998","11.70758","4.6","0.6303","127.25766170700003","7","7","0","0","23","0","0","248","15","6","516","33","6","26","0","0","35","2","6","4","0","0","11","2","18","99","4","4","225","11","5","25","3","12","77UPP63","(GB)","0","Female","Norse Dancer (IRE)","Third","Sixth","65","65","0","0","0","0","0","0","Newton Abbot","Class 4","4955","2m6f ","8","40.00","151","37","Warwick","Class 4","4084","2m ","8","50.00","154","144","Kempton","Class 3","5991","3m1f ","4","125.00","Pulled Up","10","0",,,,"Good","Good","Soft","Kylenoe Fairy (IRE)","None","None","20","100","33","8","0","0","107","Clear Second","47.00","14.00","3","0","1","0","0","None","Flat","Mare","10","10","0","6","0","0","45","3","0","Hurdle","7","0","0","0","9","11","14","25.00","16.00","Anshan",,,,,,"0","1","0","2","0","10","0","1","1","0","1","0","100","1","0","1","0","100","1","0","1","0","5","0","1","2023-06-07",
"13:50:00","Newton Abbot","Sylvies Dance","Racing Partnership Novices Hurdle (GBB Race)","Class 4","4yo+","Non-Major","Novices Hurdle","2m6f ","4901","Good","6","National Hunt","105","Left Handed","0","Woollacott, Mrs Kayley","9","149","Newman, Mr Joshua","5","Non Fav","0","2.50","7","63.73887500000001","16.214737500000002","0","2.4","0.5818","118.00513868750002","808","3","2","67","6","2","33","26","4","15","48","6","13","31","2","6","1","0","0","3","1","33","5","1","20","64","6","9","132","8","6","6","0","0","P2","(GB)","0","Female","Bollin Eric","Second","Pulled Up","0","0",,,"0","0","0","0","Chepstow","Class 4","3769","2m7½f ","13","6.50","151","840","Hereford","Class 4","3769","3m2f ","15","6.50","152","No Prev",,,,,,,"No Run","2","0",,,"No Run","Good To Soft","Soft",,"Kiama","None","None","50","0","0","2","0","0","55","Clear Fourth","6.00","7.00","0","0","0","9","18","None","Flat","Mare","0","2","0","2","0","0","45","0","0","Hurdle","5","0","0","0","0","0","0","1.38","1.88","Dansili",,,,,,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2023-06-07",
"14:00:00","Newbury","Betties Bay","Make Your Best Bet At BetVictor Restricted Maiden Fillies Stakes (GBB Race)","Class 5","2yo","Non-Major","Maiden","6f ","4320","Good To Firm","15","Flat","0","Straight","14","Nicholls, Georgina","2","128","Bryan, Joshua","0","Non Fav","0","7.00","1","0","0","0","-0.1","0.16670000000000001","0.06670000000000001","No Prev","8","0","0","11","0","0","182","19","10","345","37","11","0","0","0","7","1","14","2","0","0","2","0","0","7","0","0","12","2","17","0","0","0","none","(GB)","-3","Female","Cable Bay (IRE)","No Run","No Run",,,,,"0","0","0","0",,,,,,,,"No Prev",,,,,,,,"No Prev",,,,,,,"No Run","0","0","No Run","No Run","No Run",,,,"First Experience","None",,"0","0","0","0","0","0","26","Clear Eighth",,,"0","0","0","0","0","Centre","Slight Undulations","Filly","0","0","0","0","0","0","0","0","0","Flat","9","15","8","11","8","1","14","25.00","6.50","Le Johnstan",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-06-07",
"14:00:00","Newbury","California State","Make Your Best Bet At BetVictor Restricted Maiden Fillies Stakes (GBB Race)","Class 5","2yo","Non-Major","Maiden","6f ","4320","Good To Firm","15","Flat","0","Straight","12","Butler, John","2","128","Morris, Luke","0","Non Fav","0","40.00","2","0","0","0","0","1.1696","1.1696","No Prev","46","4","9","103","8","8","1170","111","9","2283","205","9","79","7","9","7","0","0","21","3","14","55","8","15","478","48","10","914","99","11","8","1","13","none","(GB)","-3","Female","Zoffany (IRE)","No Run","No Run",,,,,"0","0","0","0",,,,,,,,"No Prev",,,,,,,,"No Prev",,,,,,,"No Run","0","0","No Run","No Run","No Run",,,,"Alices Dancer (IRE)","None",,"0","0","0","0","0","0","112","Joint Third",,,"0","0","0","0","0","Centre","Slight Undulations","Filly","0","0","0","0","0","0","0","0","0","Flat","10","11","10","27","11","11","10","33.00","40.00","Clodovil (IRE)",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-06-07",
"14:00:00","Newbury","Le Brok Cafe (IRE)","Make Your Best Bet At BetVictor Restricted Maiden Fillies Stakes (GBB Race)","Class 5","2yo","Non-Major","Maiden","6f ","4320","Good To Firm","15","Flat","0","Straight","6","Murphy, Amy","2","128","Hansen, Thore","0","Non Fav","0","28.00","3","0","0","0","0.4","0.699","1.099","No Prev","17","6","35","17","6","35","195","20","10","518","56","11","5","1","20","8","0","0","31","2","6","54","4","7","336","25","7","608","54","9","11","1","9","none","(IRE)","2","Female","Dandy Man (IRE)","No Run","No Run",,,,,"0","0","0","0",,,,,,,,"No Prev",,,,,,,,"No Prev",,,,,,,"No Run","0","0","No Run","No Run","No Run",,,,"Some Style (IRE)","None",,"0","0","0","0","0","0","112","Joint Third",,,"0","0","0","0","0","Centre","Slight Undulations","Filly","0","0","0","0","0","0","0","0","0","Flat","9","6","9","12","11","6","11","25.00","28.00","Kodiac",,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-06-07",
"14:00:00","Newbury","Mapmaker","Make Your Best Bet At BetVictor Restricted Maiden Fillies Stakes (GBB Race)","Class 5","2yo","Non-Major","Maiden","6f ","4320","Good To Firm","15","Flat","0","Straight","2","Holland, Darryll","2","128","Stott, Kevin","0","Fav","0","2.50","4","75.33075","0","0","3.2","0.7103999999999999","164.402562875","8","41","5","12","69","11","16","935","152","16","1385","220","16","1","0","0","8","0","0","10","1","10","19","3","16","175","15","9","326","32","10","4","1","25","3","(GB)","0","Female","Aclaim (IRE)","Third","No Run","0",,,,"0","0","0","0","Redcar","Class 4","4590","6f ","12","5.00","128","No Prev",,,,,,,,"No Prev",,,,,,,"No Run","1","0",,"No Run","No Run","Good To Firm",,,"Cartographer","None","None","0","0","100","1","0","0","112","Joint Third","3.75","1.65","1","0","1","0","0","Centre","Slight Undulations","Filly","1","1","0","1","0","0","0","0","0","Flat","10","8","7","0","12","12","10","3.33","2.25","Henrythenavigator (USA)",,,,,,"0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","100","0","0","0","0","0","0","0","2023-06-07",
