horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Book Of Tales","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","10","1","Kingscote, Richard","0.73","Johnston, Charlie","134","57","1",,
"Grand Duchess Olga","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","23","2","Probert, David","12.00","Guest, Rae","132","55","2",,
"Queen Of Steel","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","38","5","Cox, William","5.50","Usher, M D I","124","47","6",,
"Star (FR)","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","18","4","Doyle, Hollie","7.00","Watson, Archie","135","58","7",,
"Tiz Likely (IRE)","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","23","6","Dawson, R","50.00","Moore, J S","123","46","3",,
"Trooper Bisdee (IRE)","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","8","0",,"0.00","Prescott, Sir Mark","139","62","5",,
"Vitani","16:55:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m6f ","14","Firm","6","Class 6","18","3","Da Silva, Raul","5.50","West, Adam","122","45","4",,
"Delagate This Lord","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","225","1","Fallon, Cieren","3.33","Brisland, Robyn","128","58","2",,
"Fair And Square","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","14","6","Probert, David","11.00","Harris, R A","122","52","3",,
"More Than Likely","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","14","1","Doyle, Hollie","16.00","Evans, Mrs N S","119","49","1",,
"Okaidi (USA)","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","23","7","Morris, Luke","12.00","Carroll, A W","116","46","7",,
"Savalas (IRE)","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","14","5","Marsh, Finley","4.50","Wintle, A","124","54","5",,
"Symbol of Hope","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","23","3","Dawson, R","2.75","Harris, Miss G","137","67","6",,
"Yimou (IRE)","17:30:00","2023-06-09","Bath","Flat (Turf)","Handicap","5.5f ","5.5","Firm","7","Class 6","10","4","Kingscote, Richard","2.75","Ivory, D K","131","61","4",,
"Amazonian Dream (IRE)","18:03:00","2023-06-09","Bath","Flat (Turf)","Handicap","5f ","5","Firm","3","Class 4","20","3","Coakley, Ross","3.00","Millman, B R","130","79","2",,
"Glamorous Breeze","18:03:00","2023-06-09","Bath","Flat (Turf)","Handicap","5f ","5","Firm","3","Class 4","18","2","Cox, William","1.38","Mason, Christopher","133","82","1",,
"Lil Guff","18:03:00","2023-06-09","Bath","Flat (Turf)","Handicap","5f ","5","Firm","3","Class 4","18","1","Kingscote, Richard","1.50","Kubler, Daniel","130","79","3",,
"Dapperling (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","53","2","Levey, S M","16.00","Hannon (Jnr), Richard","126","0","6",,
"Empire Of Light (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","No Prev","5","Kingscote, Richard","8.50","Johnston, Charlie","131","0","2",,
"Ikhtiary (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","No Prev","4","Morris, Luke","7.50","Clover, Tom","131","0","5",,
"John Steed (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","30","7","Dawson, R","5.50","Loughnane, David","131","0","3",,
"Mighty Pearl","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","No Prev","8","Coakley, Ross","100.00","West, Adam","127","0","1",,
"Phoenix Moon (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","No Prev","9","Doyle, Hollie","14.00","Coakley, D J","122","0","9",,
"Relentless Warrior (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","23","6","Probert, David","8.50","Balding, A M","129","0","7",,
"Revenue (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","32","3","Bishop, Charles","9.00","Houghton, Eve Johnson","133","0","4",,
"Toca Madera (IRE)","18:38:00","2023-06-09","Bath","Flat (Turf)","Novices","5.5f ","5.5","Firm","9","Class 3","14","1","Shoemark, Kieran","1.25","Meehan, B J","131","0","8",,
"Afternoon Tea (IRE)","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","16","3","Cox, William","40.00","Carroll, A W","139","44","3",,
"Bailar Contigo (IRE)","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","17","5","Kingscote, Richard","1.75","Williams, S C","126","50","7",,
"Cosmic Star","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","360","7","Morris, Luke","22.00","Loughnane, Daniel Mark","139","46","1",,
"Craggy Range (IRE)","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","17","0",,"0.00","Walker, Ed","126","42","5",,
"Galactic Glow (IRE)","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","9","1","Fisher, Taylor","7.00","Tickle, J","134","48","6",,
"Kraken Filly (IRE)","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","23","4","Bishop, Charles","2.75","Ponting, J","139","48","8",,
"Ladypacksapunch","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","18","2","Dawson, R","3.00","Harris, Miss G","139","47","2",,
"What An Icon","19:13:00","2023-06-09","Bath","Flat (Turf)","Non-Handicap","1m2f ","10","Firm","7","Class 6","241","6","Mangan, Gina","11.00","Down, C J","123","46","4",,
"Butterfly Effect (IRE)","19:48:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","4","Class 5","14","4","Morris, Luke","7.50","Scott, George","130","66","4",,
"Kings Code","19:48:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","4","Class 5","27","1","Levey, S M","3.00","Hannon (Jnr), Richard","134","70","3",,
"Outrace (IRE)","19:48:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","4","Class 5","42","2","Cameron, Tyrese","8.00","Hannon (Jnr), Richard","127","70","2",,
"Warren Hill (IRE)","19:48:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","4","Class 5","11","3","Dawson, R","0.62","Varian, Roger","134","70","1",,
"Available Angel","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","9","0","Probert, David","7.00","Mackie, J","132","52","5",,
"Blue Hero (CAN)","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","23","0","Marsh, Finley","2.25","Wintle, A","135","55","7",,
"Bold And Loyal","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","8","0","Levey, S M","3.50","Murphy, Mike / Keady, Michael","126","46","3",,
"Jolis Legacy (IRE)","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","91","0","Cox, William","22.00","Newcombe, A G","126","46","4",,
"Pretty Green","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","331","0","Mangan, Gina","28.00","Bandey, R J","123","46","8",,
"Send In The Clouds","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","15","0","Doyle, Hollie","4.00","Carroll, A W","126","46","2",,
"Susanbequick (IRE)","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","4","0","Bishop, Charles","9.00","Ponting, J","129","49","1",,
"Thewaytothestars","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","88","0","Dawson, R","12.00","Harris, Miss G","137","57","9",,
"Villalobos (IRE)","20:20:00","2023-06-09","Bath","Flat (Turf)","Handicap","1m ","8","Firm","9","Class 6","29","0","Morris, Luke","10.00","Hodgson, Simon","137","57","6",,
"Bonkersinabundance (IRE)","14:00:00","2023-06-09","Brighton","Flat (Turf)","Handicap","6f ","6","Good To Firm","6","Class 6","24","1","Keeley, Aidan","8.50","Varian, Roger","129","59","3",,
