Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","53","6","21","11.32","39.62","-22","1293","147","407","11.37","31.48","-305.91","1","1","701","69","210","9.84","29.96","-145.32","191","65","118","34.03","34.03","13.01","983","129","329","13.12","13.12","-103.53",
"Andrews, Bridget","2","0","0","0","0","-2","275","35","71","12.73","25.82","-9.48","21","9","158","18","41","11.39","25.95","12.59","31","13","18","41.94","41.94","3.27","155","15","32","9.68","9.68","6.2",
"Andrews, N R","0","0","0","0","0","0","5","0","1","0","20","-5","9999","9999","5","0","1","0","20","-5","0","0","0","0","0","0","1","0","0","0","0","-1",
"Beasley, Connor","45","6","17","13.33","37.78","-0.79","1454","177","496","12.17","34.11","-138.27","1","2","759","79","254","10.41","33.47","-176.02","212","57","122","26.89","26.89","-28.91","1040","132","366","12.69","12.69","-45.66",
"Bellamy, Tom","14","2","6","14.29","42.86","-3","857","98","269","11.44","31.39","-272.55","4","3","454","47","136","10.35","29.96","-145.86","80","33","48","41.25","41.25","5.08","522","61","165","11.69","11.69","-171.36",
"Bennett, Charlie","8","0","3","0","37.5","-8","626","22","105","3.51","16.77","-431.12","49","48","310","12","56","3.87","18.06","-223","22","3","10","13.64","13.64","-10.5","453","20","93","4.42","4.42","-268.12",
"Berry, Mr R A","2","0","1","0","50","-2","31","1","5","3.23","16.13","-22","510","26","22","0","4","0","18.18","-22","0","0","0","0","0","0","7","1","2","14.29","14.29","2",
"Best, J A","15","0","1","0","6.67","-15","699","44","131","6.29","18.74","-304.28","51","39","301","11","42","3.65","13.95","-176.87","37","14","18","37.84","37.84","6.06","436","37","105","8.49","8.49","-85.18",
"Bishop, Charles","24","3","8","12.5","33.33","-4.67","681","63","179","9.25","26.28","-219.81","8","17","381","44","113","11.55","29.66","-130.69","64","20","39","31.25","31.25","-10.93","408","32","96","7.84","7.84","-125.82",
"Boinville, Nico","9","3","5","33.33","55.56","-1.77","610","134","233","21.97","38.2","-13.88","4","4","274","65","112","23.72","40.88","-15.43","197","83","115","42.13","42.13","-5.54","303","56","100","18.48","18.48","74.05",
"Bowen, S D","11","2","4","18.18","36.36","13","283","15","57","5.3","20.14","-84.25","1","1","185","11","37","5.95","20","-31.25","15","3","6","20","20","-7","226","11","42","4.87","4.87","-69.25",
"Bowen, Sean P","38","10","14","26.32","36.84","-9.6","1203","232","450","19.29","37.41","45.08","2","6","677","129","256","19.05","37.81","122.06","287","116","176","40.42","40.42","-12.87","782","137","272","17.52","17.52","-52.61",
