Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, David","48","6","20","12.5","41.67","-28.31","1290","147","406","11.4","31.47","-309.16","1","1","698","68","209","9.74","29.94","-150.07","191","65","119","34.03","34.03","13.01","978","129","327","13.19","13.19","-104.78",
"Atzeni, Andrea","34","5","8","14.71","23.53","19","870","146","324","16.78","37.24","-56.1","4","7","461","85","168","18.44","36.44","35.1","169","58","102","34.32","34.32","-9.3","477","79","167","16.56","16.56","-17.22",
"Bailey, Katelyn","0","0","0","0","0","0","11","0","0","0","0","-11","9999","9999","11","0","0","0","0","-11","0","0","0","0","0","0","9","0","0","0","0","-9",
"Barron, Mr R W","5","0","0","0","0","-5","103","4","25","3.88","24.27","-51","40","15","59","3","16","5.08","27.12","-33","5","0","3","0","0","-5","14","1","5","7.14","7.14","-6",
"Bass, George","8","0","2","0","25","-8","384","34","95","8.85","24.74","-55.15","21","12","226","22","66","9.73","29.2","-63.78","21","7","10","33.33","33.33","-0.98","289","30","79","10.38","10.38","-26.65",
"Beasley, Connor","47","5","15","10.64","31.91","-6.79","1452","177","495","12.19","34.09","-135.77","4","12","761","80","255","10.51","33.51","-173.02","212","57","122","26.89","26.89","-28.91","1037","132","365","12.73","12.73","-42.16",
"Best, J A","14","0","0","0","0","-14","698","44","130","6.3","18.62","-303.28","48","34","296","11","41","3.72","13.85","-171.87","37","14","18","37.84","37.84","6.06","437","37","104","8.47","8.47","-86.18",
"Bishop, Charles","25","3","10","12","40","-5.67","680","63","179","9.26","26.32","-218.81","5","11","382","45","113","11.78","29.58","-129.19","64","20","39","31.25","31.25","-10.93","407","32","96","7.86","7.86","-124.82",
"Bowen, Sean P","33","11","15","33.33","45.45","2.23","1192","229","446","19.21","37.42","49.08","4","4","666","126","252","18.92","37.84","126.06","284","114","174","40.14","40.14","-14.12","772","135","270","17.49","17.49","-46.86",
"Bradnam, Joe","0","0","0","0","0","0","57","2","9","3.51","15.79","-41.25","68","6","41","2","6","4.88","14.63","-25.25","4","1","1","25","25","-0.25","46","2","8","4.35","4.35","-30.25",
"Brennan, P J","5","0","1","0","20","-5","672","150","303","22.32","45.09","-108.1","18","9","273","68","122","24.91","44.69","-4.45","202","86","131","42.57","42.57","1.15","334","70","131","20.96","20.96","-61.79",
"Bromley, Ben","1","1","1","100","100","0.91","138","25","53","18.12","38.41","-27.34","3","1","81","16","34","19.75","41.98","-3.86","22","7","15","31.82","31.82","-6.22","98","16","35","16.33","16.33","-21.71",
"Broughton, Mr T P","5","1","1","20","20","-3.33","43","8","19","18.6","44.19","20.88","7","3","33","5","13","15.15","39.39","15.17","9","4","7","44.44","44.44","2.38","26","6","12","23.08","23.08","-0.45",
"Bryan, Joshua","8","0","2","0","25","-8","345","37","101","10.72","29.28","-39.56","61","29","182","19","52","10.44","28.57","-61","28","9","22","32.14","32.14","-1.27","221","25","70","11.31","11.31","-2.04",
"Buick, William","46","6","20","13.04","43.48","-11.38","1575","381","723","24.19","45.9","-8.99","2","4","742","189","349","25.47","47.04","-41.5","566","229","363","40.46","40.46","0.35","850","186","353","21.88","21.88","11.49",
"Burns, Harry","9","0","3","0","33.33","-9","383","47","109","12.27","28.46","-105.38","19","16","192","26","61","13.54","31.77","-50.08","41","10","23","24.39","24.39","-11.71","310","37","90","11.94","11.94","-70.62",
"Caffrey, Adam","16","2","3","12.5","18.75","14","325","29","77","8.92","23.69","-57.01","3","3","253","27","66","10.67","26.09","-28.01","26","7","13","26.92","26.92","-0.67","267","25","62","9.36","9.36","-22.59",
"Callan, N","50","8","16","16","32","-18.95","741","107","259","14.44","34.95","99.59","3","12","512","79","185","15.43","36.13","66.3","112","34","67","30.36","30.36","-10.76","486","73","175","15.02","15.02","61.47",
"Carroll, G F","31","8","9","25.81","29.03","26.26","948","94","241","9.92","25.42","-204.12","2","6","476","53","124","11.13","26.05","-62.12","87","29","53","33.33","33.33","20.75","506","58","142","11.46","11.46","-27.05",
"Carson, William","22","0","4","0","18.18","-22","793","37","131","4.67","16.52","-383.29","15","25","394","17","70","4.31","17.77","-229.9","35","12","19","34.29","34.29","0.46","590","32","107","5.42","5.42","-210.05",
"Carver, Bryan","3","1","1","33.33","33.33","-0.5","252","35","78","13.89","30.95","-11.62","12","3","162","21","43","12.96","26.54","-23.87","31","14","22","45.16","45.16","7.67","183","26","60","14.21","14.21","20.96",
"Catton, Luke","7","0","1","0","14.29","-7","207","22","50","10.63","24.15","-33.41","20","10","121","14","28","11.57","23.14","-30.42","15","4","9","26.67","26.67","-4.41","181","21","44","11.6","11.6","-58.41",
"Cherchi, Stefano","13","0","3","0","23.08","-13","607","54","174","8.9","28.67","-232.1","153","96","312","22","77","7.05","24.68","-95.47","57","21","35","36.84","36.84","0.57","425","42","124","9.88","9.88","-154.9",
"Cleary, Jack","1","0","1","0","100","-1","174","11","26","6.32","14.94","-50.92","89","28","115","6","18","5.22","15.65","-75.92","7","3","5","42.86","42.86","3.58","130","11","24","8.46","8.46","-6.92",
"Cleary, R P","22","1","5","4.55","22.73","-18","782","28","120","3.58","15.35","-445.25","2","3","380","16","63","4.21","16.58","-180.25","19","3","7","15.79","15.79","-8.75","451","21","77","4.66","4.66","-173.5",
"Clutterbuck, Rhys","17","1","5","5.88","29.41","-4","755","78","207","10.33","27.42","-224.79","5","3","378","36","97","9.52","25.66","-138.58","100","28","56","28","28","-13.62","541","67","172","12.38","12.38","-104.34",
"Coakley, Ross","22","4","7","18.18","31.82","-0.12","705","91","249","12.91","35.32","-156.6","6","6","404","49","141","12.13","34.9","-117.9","94","34","58","36.17","36.17","0.11","439","58","145","13.21","13.21","-83.55",
"Cobden, Harry","29","10","14","34.48","48.28","1.62","939","231","413","24.6","43.98","-90.17","3","4","498","129","234","25.9","46.99","-40.68","288","135","181","46.88","46.88","8.28","523","99","196","18.93","18.93","-64.83",
"Coen, Ben M","38","3","11","7.89","28.95","-20.5","998","95","274","9.52","27.45","-362.9","3","9","513","49","136","9.55","26.51","-223.69","112","37","71","33.04","33.04","6.39","510","49","127","9.61","9.61","-171.66",
"Coen, J","7","0","1","0","14.29","-7","548","39","137","7.12","25","-239.2","21","14","293","17","67","5.8","22.87","-145.17","50","10","24","20","20","-15.86","424","26","101","6.13","6.13","-187.26",
"Colgan, R C","13","0","1","0","7.69","-13","698","30","107","4.3","15.33","-354.76","17","19","344","15","51","4.36","14.83","-208.34","17","3","10","17.65","17.65","-4.67","375","15","65","4","4","-165.17",
"Cosgrave, Pat","4","0","2","0","50","-4","688","83","230","12.06","33.43","-137.54","35","6","310","38","102","12.26","32.9","-46.72","83","31","56","37.35","37.35","2.72","492","58","172","11.79","11.79","-114.43",
"Costello, Dougie","17","0","2","0","11.76","-17","744","77","192","10.35","25.81","-208.52","25","30","352","38","85","10.8","24.15","-56.46","70","24","41","34.29","34.29","-4.52","560","65","154","11.61","11.61","-104.12",
"Crouch, Hector","27","5","8","18.52","29.63","8.44","801","119","265","14.86","33.08","-21.75","5","5","409","64","134","15.65","32.76","-23.47","128","39","66","30.47","30.47","-26.38","463","72","154","15.55","15.55","57.24",
"Crowley, Jim","22","3","10","13.64","45.45","-5.17","796","166","316","20.85","39.7","107.99","11","13","371","76","144","20.49","38.81","38.95","190","78","121","41.05","41.05","3.8","389","67","137","17.22","17.22","36.09",
"Curtis, B A","25","3","7","12","28","-8.25","1110","182","394","16.4","35.5","-146.61","11","5","522","71","185","13.6","35.44","-140.37","221","85","131","38.46","38.46","5.34","788","126","268","15.99","15.99","-48.98",
"Da Silva, Raul","5","1","2","20","40","-0.67","24","1","6","4.17","25","-19.67","8","3","24","1","6","4.17","25","-19.67","2","0","1","0","0","-2","13","1","3","7.69","7.69","-8.67",
"Davies, Harry","24","2","8","8.33","33.33","-15","542","79","192","14.58","35.42","-137.6","4","4","408","54","143","13.24","35.05","-137.12","92","28","52","30.43","30.43","-18.59","441","54","142","12.24","12.24","-149.94",
"Dawson, R","18","2","5","11.11","27.78","-3","910","129","291","14.18","31.98","15.58","11","6","414","58","140","14.01","33.82","39.44","127","42","77","33.07","33.07","-5.62","640","87","198","13.59","13.59","59.58",
"Dennis, Phil","18","1","5","5.56","27.78","-11","731","60","186","8.21","25.44","71.98","11","14","411","37","110","9","26.76","49.25","53","16","32","30.19","30.19","-3.35","555","45","148","8.11","8.11","-34.27",
"Dettori, L","12","5","6","41.67","50","2.5","382","76","163","19.9","42.67","-83.92","4","1","179","34","80","18.99","44.69","-28.39","113","41","72","36.28","36.28","-24.26","123","16","47","13.01","13.01","-40.72",
"Dingle, Rex","5","1","1","20","20","-1.25","466","72","155","15.45","33.26","33.82","11","4","236","37","78","15.68","33.05","-15.02","78","32","47","41.03","41.03","0.03","250","44","87","17.6","17.6","116.84",
"Dobbs, Pat","19","1","6","5.26","31.58","-11","520","62","152","11.92","29.23","-86.78","11","14","244","26","72","10.66","29.51","-102.62","51","16","30","31.37","31.37","-5.82","264","26","72","9.85","9.85","-57.84",
"Dobie, Georgia","13","0","0","0","0","-13","362","27","79","7.46","21.82","-56.74","39","40","191","8","32","4.19","16.75","-118.25","19","5","8","26.32","26.32","-2.74","302","24","71","7.95","7.95","-108.24",
"Doyle, Hollie","47","7","10","14.89","21.28","-6.06","1942","284","656","14.62","33.78","-367.1","2","6","758","112","235","14.78","31","-148.27","341","113","197","33.14","33.14","-50.23","1289","190","443","14.74","14.74","-144.22",
"Doyle, James","36","5","22","13.89","61.11","-16.57","1051","200","473","19.03","45","-203.45","3","9","431","80","191","18.56","44.32","-105.39","312","120","221","38.46","38.46","-21.47","570","91","235","15.96","15.96","-159.27",
"Doyle, Mr D","1","0","0","0","0","-1","28","0","3","0","10.71","-28","9999","9999","17","0","2","0","11.76","-17","0","0","0","0","0","0","0","0","0","0","0","0",
"Eaves, Tom","33","0","5","0","15.15","-33","1127","74","241","6.57","21.38","-416.03","21","52","636","46","144","7.23","22.64","-216.74","55","20","38","36.36","36.36","0","804","52","175","6.47","6.47","-233.82",
"Eddery, George","3","1","1","33.33","33.33","7","42","5","12","11.9","28.57","2","8","2","32","4","10","12.5","31.25","-3","3","0","2","0","0","-3","41","5","12","12.2","12.2","3",
"Edmunds, Lewis","17","1","2","5.88","11.76","-14","786","80","221","10.18","28.12","-139.47","13","15","413","48","114","11.62","27.6","-55.71","79","19","41","24.05","24.05","-22.8","581","62","173","10.67","10.67","-114.37",
"Egan, David","42","8","20","19.05","47.62","-11.18","1415","156","455","11.02","32.16","-535.36","2","6","723","88","237","12.17","32.78","-251.84","195","66","131","33.85","33.85","-17.73","842","77","246","9.14","9.14","-293.86",
"Egan, John","10","1","2","10","20","-5","564","50","138","8.87","24.47","-191.44","4","2","282","26","71","9.22","25.18","-106.32","38","12","27","31.58","31.58","-5.52","402","40","105","9.95","9.95","-124.6",
"Fahy, J P","11","1","2","9.09","18.18","0","278","37","93","13.31","33.45","27.95","5","2","195","24","65","12.31","33.33","-10.96","28","10","18","35.71","35.71","7.91","153","21","54","13.73","13.73","17.74",
"Fallon, Cieren","28","3","8","10.71","28.57","-12.17","1121","148","385","13.2","34.34","-281.9","2","4","538","68","184","12.64","34.2","-170.49","171","59","107","34.5","34.5","-7.23","671","78","211","11.62","11.62","-160.47",
"Fanning, Joe","35","10","14","28.57","40","28.42","865","125","284","14.45","32.83","-120.28","2","4","209","38","71","18.18","33.97","42.47","114","40","67","35.09","35.09","-12.47","631","80","200","12.68","12.68","-123.12",
"Fentiman, Duran","20","0","0","0","0","-20","715","35","132","4.9","18.46","-324.01","41","56","325","16","63","4.92","19.38","-153.47","30","6","15","20","20","-8.01","563","27","110","4.8","4.8","-278.54",
"Fielding, Alexander","2","0","0","0","0","-2","33","2","4","6.06","12.12","18","243","13","21","1","2","4.76","9.52","20","2","0","0","0","0","-2","31","2","4","6.45","6.45","20",
"Fisher, Taylor","12","2","5","16.67","41.67","1","301","34","95","11.3","31.56","-68","2","2","290","34","95","11.72","32.76","-57","30","8","17","26.67","26.67","-2.46","266","31","85","11.65","11.65","-78.5",
"Foley, Shane","41","4","13","9.76","31.71","-10.67","1322","149","432","11.27","32.68","-246.08","6","18","628","73","205","11.62","32.64","-111.41","133","30","77","22.56","22.56","-42.78","639","61","200","9.55","9.55","-116.71",
"Fox, Ned","1","1","1","100","100","5.5","106","20","34","18.87","32.08","60.64","10","1","70","13","23","18.57","32.86","72.38","19","5","9","26.32","26.32","-6.11","86","15","26","17.44","17.44","37.14",
"Gale, Miss Elizabeth","1","0","1","0","100","-1","35","3","11","8.57","31.43","-23.25","58","12","33","3","11","9.09","33.33","-21.25","3","1","2","33.33","33.33","-0.75","32","3","10","9.38","9.38","-20.25",
"Garritty, Billy","30","6","13","20","43.33","25.2","754","78","241","10.34","31.96","39.69","2","4","395","46","136","11.65","34.43","51.44","77","19","50","24.68","24.68","-19.81","583","58","178","9.95","9.95","-139.56",
"Geerdharry, C","4","0","1","0","25","-4","53","3","14","5.66","26.42","-9","60","15","53","3","14","5.66","26.42","-9","3","0","1","0","0","-3","44","3","11","6.82","6.82","0",
"Ghiani, Marco","37","1","12","2.7","32.43","-33","998","144","332","14.43","33.27","36.39","2","3","325","43","114","13.23","35.08","104.09","136","50","82","36.76","36.76","7.48","711","108","253","15.19","15.19","-43.19",
"Gingell, Mr Frederick","3","1","2","33.33","66.67","1","91","14","42","15.38","46.15","-26.77","7","1","75","12","39","16","52","-19.77","22","6","13","27.27","27.27","-9.27","69","9","33","13.04","13.04","-15.26",
"Gray, S A","24","1","5","4.17","20.83","-21","633","47","135","7.42","21.33","-38.74","2","5","351","21","68","5.98","19.37","-94.03","40","10","20","25","25","-11.81","444","36","114","8.11","8.11","67.02",
"Halpin, G P","5","0","0","0","0","-5","280","14","50","5","17.86","-124.77","217","29","107","5","24","4.67","22.43","-79.87","11","4","9","36.36","36.36","0.98","119","5","18","4.2","4.2","-63.25",
"Hamilton, Mr T","8","1","2","12.5","25","-4.5","153","10","34","6.54","22.22","-108.52","5","4","72","4","16","5.56","22.22","-56.43","12","4","8","33.33","33.33","0.32","22","1","2","4.55","4.55","-14",
"Hansen, Thore","17","6","7","35.29","41.18","12.48","518","56","153","10.81","29.54","-142.82","1","1","195","20","52","10.26","26.67","-86.19","47","17","37","36.17","36.17","1.68","357","41","110","11.48","11.48","-62.98",
