racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","1st",,"Tajawal (IRE)","7","Crisford, Simon","3","Fanning, Joe","0","131","0.29","(Fav)","83","1 mins 39.75s","99.75",,"0","8","1","Flat","0","0","2","0","1760","12","Maiden","made all, ran on strongly, unchallenged","4","Inside","Left Handed","Vsor","20","3","Frankel","Flat","4320","Colt","Feedyah (USA)","Street Cry (IRE)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","2nd","1.75","Lil Frank","6","Varian, Roger","3","Mitchell, Jack","0","131","2.25",,"80","1 mins 39.75s","99.75","1.75","0","8","2","Flat","0","0","2","0","1760","12","Maiden","wore hood to post, chased winner, hung badly left and carried head high from over 2f out, plugged on at same pace, never enough pace to challenge","3","Inside","Left Handed",,"28","3","Frankel","Flat","2028","Gelding","Pepita (IRE)","Sir Prancealot (IRE)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","3rd","4","Angel From Above (IRE)","2","Dalgleish, Keith","3","Garritty, Billy","0","126","25",,"0","1 mins 39.75s","99.75","5.75","0","8","3","Flat","0","0","2","0","1760","12","Maiden","slowly into stride, behind, headway far side of group over 2f out, 3rd and one pace final furlong, no chance with leading duo","6","Inside","Left Handed",,"None","0","Galileo Gold","Flat","1014","Filly","Cartoon","Danehill Dancer (IRE)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","4th","NK","Fiver Friday (IRE)","1","Traynor, Paul","3","Mullen, Andrew","0","126","28",,"0","1 mins 39.75s","99.75","5.9","0","8","4","Flat","0","0","2","0","1760","12","Maiden","held up in last pair, good headway near side of group over 1f out, plugged on and nearly snatched 3rd, no chance with leading duo","7","Inside","Left Handed",,"29","2","The Gurkha (IRE)","Flat","507","Filly","Wild Storm","Dubawi (IRE)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","5th","2.25","The Caltonian","5","Perratt, Miss L A","4","Rodriguez, Callum","0","142","150",,"0","1 mins 39.75s","99.75","8.15","0","8","5","Flat","0","0","2","0","1760","12","Maiden","tracked leading trio, good headway near side of group 3f out, disputing 2nd briefly over 2f out, ridden and unable to quicken over 1f out, weakened final furlong","1","Inside","Left Handed",,"14","2","Swiss Spirit","Flat","0","Gelding","Azelle","Starcraft (NZ)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","6th","11","Genevieve","4","Goldie, J S","4","Mulrennan, Paul","0","137","150",,"0","1 mins 39.75s","99.75","19.15","0","8","6","Flat","0","0","2","0","1760","12","Maiden","raced keenly tracking leaders on inside, ridden and weakened quickly over 2f out","2","Inside","Left Handed",,"13","1","Orientor","Flat","0","Filly","Eternalist","Equiano (FR)","83",
"2023-06-05","14:15:00","Ayr","Every Race Live On Racing TV Maiden Stakes (GBB Race)","3yo+","Class 5",,"1m ","4320","Good To Firm","7","7th","HD","The Darien Scheme (IRE)","3","Goldie, J S","3","Waugh, Amie","5","126","150",,"0","1 mins 39.75s","99.75","19.25","0","8","7","Flat","0","0","2","0","1760","12","Maiden","off the pace in last trio, pushed along and outpaced 3f out, soon behind","5","Inside","Left Handed",,"4","2","War Command (USA)","Flat","0","Gelding","Tae Think Again (IRE)","Galileo (IRE)","83",
"2023-06-05","14:45:00","Ayr","Join Racing TV Now Fillies Handicap","4yo+","Class 5",,"7.5f ","4187","Good To Firm","4","1st",,"Alethiometer (FR)","1","Dods, M","4","Rodriguez, Callum","0","135","1.63","(Fav)","73","1 mins 28.63s","88.63",,"68.5","7.5","1","Flat","0","0","1","0","1590","12","Handicap","tracked leader, pushed along to lead inside final 2f, shaken up and went clear final furlong, easily","1","Outside","Left Handed",,"14","9","Aclaim (IRE)","Flat","4187","Filly","Live Love Laugh (FR)","Redoutes Choice (AUS)","73",
"2023-06-05","14:45:00","Ayr","Join Racing TV Now Fillies Handicap","4yo+","Class 5",,"7.5f ","4187","Good To Firm","4","2nd","2.75","Cosa Sara (IRE)","4","Goldie, J S","5","Fanning, Joe","0","117","2.5",,"55","1 mins 28.63s","88.63","2.75","68.5","7.5","2","Flat","0","0","1","0","1590","12","Handicap","slowly into stride, raced keenly and soon disputing 3rd, went outright 3rd inside final 2f, ridden and hung left from over 1f out, plugged on into 2nd close home, no chance with winner","5","Outside","Left Handed","CkPc","5","33","Gleneagles (IRE)","Flat","1965","Mare","Antique Platinum (IRE)","Holy Roman Emperor (IRE)","73",
"2023-06-05","14:45:00","Ayr","Join Racing TV Now Fillies Handicap","4yo+","Class 5",,"7.5f ","4187","Good To Firm","4","3rd","NK","Gometra Ginty (IRE)","5","Dalgleish, Keith","7","Garritty, Billy","0","132","3.33",,"70","1 mins 28.63s","88.63","2.9","68.5","7.5","3","Flat","0","0","1","0","1590","12","Handicap","led, ridden and headed inside final 2f, no chance with winner, lost 2nd towards finish","2","Outside","Left Handed","CkPc","11","44","Morpheus","Flat","982","Mare","Silver Cache (USA)","Silver Hawk (USA)","73",
