trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","4","0","0","0","0","-4","6","0","1","0","16.67","-6","213","22","70","10.33","32.86","-67.54","32","13","114","10","36","8.77","31.58","-51.37","27","5","12","18.52","18.52","-10.62","172","21","59","12.21","12.21","-31.04",
"Appleby, Charlie","10","0","4","0","40","-10","18","2","8","11.11","44.44","-11.2","913","271","500","29.68","54.76","-46.82","10","12","471","134","254","28.45","53.93","-23.14","426","187","297","43.9","43.9","-16.72","232","60","110","25.86","25.86","-8",
"Appleby, M","18","3","5","16.67","27.78","0.75","45","6","15","13.33","33.33","-5.75","1818","229","566","12.6","31.13","-259.9","5","10","904","108","301","11.95","33.3","-211.49","270","86","160","31.85","31.85","-17.94","1569","195","494","12.43","12.43","-207",
"Attwater, M J","4","0","1","0","25","-4","11","1","3","9.09","27.27","-4.5","660","38","131","5.76","19.85","-291.88","10","7","312","20","66","6.41","21.15","-131.49","28","9","14","32.14","32.14","-2.09","534","32","105","5.99","5.99","-205.84",
"Baker, George","3","0","2","0","66.67","-3","8","1","6","12.5","75","-5","411","44","114","10.71","27.74","-95.74","10","7","192","19","51","9.9","26.56","-60.62","46","11","24","23.91","23.91","-12.12","327","38","97","11.62","11.62","-71.12",
"Balding, A M","27","5","11","18.52","40.74","-3.3","48","8","20","16.67","41.67","-3.3","1875","287","675","15.31","36","-181.9","2","6","913","137","311","15.01","34.06","-174.92","317","105","191","33.12","33.12","-42.37","841","128","292","15.22","15.22","-48.5",
"Bandey, R J","3","1","2","33.33","66.67","2.5","3","1","2","33.33","66.67","2.5","176","32","69","18.18","39.2","-10.28","3","3","88","14","29","15.91","32.95","1.68","43","15","26","34.88","34.88","-9.03","122","20","46","16.39","16.39","-15.87",
"Barnes, M A","0","0","0","0","0","0","6","1","1","16.67","16.67","-3.62","227","14","32","6.17","14.1","-144.49","8","1","108","8","18","7.41","16.67","-62.49","3","1","1","33.33","33.33","-0.62","137","12","23","8.76","8.76","-65.24",
"Barron, T D","9","2","3","22.22","33.33","7.5","18","3","9","16.67","50","2.83","489","66","170","13.5","34.76","-48.42","6","6","234","24","76","10.26","32.48","-106.31","79","22","48","27.85","27.85","0.18","392","55","146","14.03","14.03","-13.33",
"Beckett, R M","22","5","9","22.73","40.91","5.5","35","8","14","22.86","40","13.83","1126","182","413","16.16","36.68","-190.95","1","1","609","106","232","17.41","38.1","-64.92","224","76","128","33.93","33.93","-18.9","517","83","176","16.05","16.05","-124.25",
