trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allen, C N","2","0","1","0","50","-2","4","0","1","0","25","-4","212","22","72","10.38","33.96","-66.54","29","10","113","11","37","9.73","32.74","-45.37","28","5","13","17.86","17.86","-11.62","170","21","60","12.35","12.35","-29.04",
"Appleby, Charlie","10","1","5","10","50","-8.2","19","2","9","10.53","47.37","-12.2","910","271","499","29.78","54.84","-43.82","7","8","470","136","256","28.94","54.47","-15.07","425","187","296","44","44","-15.72","231","60","110","25.97","25.97","-7",
"Appleby, M","27","4","10","14.81","37.04","-1.75","45","6","14","13.33","31.11","-5.75","1819","229","567","12.59","31.17","-260.9","2","6","905","108","301","11.93","33.26","-212.49","270","86","160","31.85","31.85","-17.94","1570","195","495","12.42","12.42","-208",
"Attwater, M J","7","1","2","14.29","28.57","-0.5","16","1","3","6.25","18.75","-9.5","660","38","130","5.76","19.7","-291.88","7","4","314","21","67","6.69","21.34","-127.49","28","9","14","32.14","32.14","-2.09","533","32","104","6","6","-204.84",
"Baker, George","5","1","5","20","100","-2","9","2","7","22.22","77.78","3","412","45","114","10.92","27.67","-91.74","7","5","194","19","50","9.79","25.77","-62.62","47","11","24","23.4","23.4","-13.12","328","39","97","11.89","11.89","-67.12",
"Balding, A M","18","2","7","11.11","38.89","-5.5","42","5","17","11.9","40.48","-8.5","1869","284","670","15.2","35.85","-187.1","1","1","908","137","309","15.09","34.03","-168.04","314","104","189","33.12","33.12","-41.57","838","127","289","15.16","15.16","-48.5",
"Bandey, R J","0","0","0","0","0","0","1","0","0","0","0","-1","175","31","68","17.71","38.86","-14.78","80","16","85","13","27","15.29","31.76","-0.82","43","15","26","34.88","34.88","-9.03","121","20","46","16.53","16.53","-14.87",
"Banham, Chelsea","2","0","0","0","0","-2","3","0","0","0","0","-3","239","16","49","6.69","20.5","-97.87","42","6","93","7","20","7.53","21.51","-29.12","15","3","7","20","20","-5.37","173","11","36","6.36","6.36","-64.37",
"Barron, T D","11","3","5","27.27","45.45","9.83","18","3","10","16.67","55.56","2.83","491","68","172","13.85","35.03","-36.92","3","4","235","26","78","11.06","33.19","-101.18","79","22","48","27.85","27.85","0.18","393","56","147","14.25","14.25","-9.83",
"Beckett, R M","12","2","4","16.67","33.33","-3","30","5","10","16.67","33.33","0.33","1120","180","409","16.07","36.52","-199.7","3","4","608","105","234","17.27","38.49","-78.26","225","76","128","33.78","33.78","-20.15","515","81","174","15.73","15.73","-137",
"Bell, M L W","6","0","1","0","16.67","-6","18","0","7","0","38.89","-18","680","88","225","12.94","33.09","-242.06","18","25","349","41","119","11.75","34.1","-149.14","108","36","57","33.33","33.33","-4.8","398","49","131","12.31","12.31","-162.19",
"Best, Jim/Suzi","0","0","0","0","0","0","3","0","0","0","0","-3","110","8","23","7.27","20.91","-43","54","12","57","5","12","8.77","21.05","-1.75","7","2","4","28.57","28.57","-1","69","8","19","11.59","11.59","-2",
"Botti, M","12","2","5","16.67","41.67","5","20","3","8","15","40","7","757","97","244","12.81","32.23","101.43","7","11","373","44","123","11.8","32.98","46.08","88","19","41","21.59","21.59","-32.78","497","65","157","13.08","13.08","-11.24",
"Boughey, George","17","3","9","17.65","52.94","23.62","38","7","17","18.42","44.74","21.75","1373","220","511","16.02","37.22","-379.42","3","8","817","134","307","16.4","37.58","-211.43","307","127","216","41.37","41.37","5.09","747","132","296","17.67","17.67","-83.18",
"Boyle, J R","5","0","1","0","20","-5","10","0","2","0","20","-10","439","38","107","8.66","24.37","-181.12","27","17","247","23","62","9.31","25.1","-84.79","33","9","17","27.27","27.27","-1.16","355","37","99","10.42","10.42","-105.62",
"Brace, D","1","0","0","0","0","-1","2","0","0","0","0","-2","83","9","23","10.84","27.71","-18.42","369","25","24","0","1","0","4.17","-24","6","3","5","50","50","0.2","59","7","21","11.86","11.86","0.9",
"Brittain, Antony","4","0","1","0","25","-4","9","0","2","0","22.22","-9","629","49","169","7.79","26.87","-251.44","32","19","287","23","80","8.01","27.87","-105.17","29","13","16","44.83","44.83","18.18","552","45","156","8.15","8.15","-222.94",
"Brooke, Daniel","1","0","0","0","0","-1","4","0","1","0","25","-4","193","14","41","7.25","21.24","-89.83","148","20","90","10","26","11.11","28.89","-33.33","10","4","7","40","40","5.04","159","14","36","8.81","8.81","-55.83",
"Brown, G","3","1","1","33.33","33.33","5","5","1","3","20","60","3","99","7","22","7.07","22.22","-36.25","1","1","46","7","15","15.22","32.61","16.75","2","1","2","50","50","0.75","61","5","17","8.2","8.2","-7",
"Burke, K R","18","2","7","11.11","38.89","-9.93","32","5","11","15.63","34.38","-12.18","1540","214","554","13.9","35.97","-254.12","3","7","756","102","276","13.49","36.51","-83.19","235","88","147","37.45","37.45","20.13","800","93","267","11.63","11.63","-168.93",
"Burrows, Owen","2","1","2","50","100","3.5","6","2","4","33.33","66.67","5.5","188","43","91","22.87","48.4","17.79","3","1","85","20","39","23.53","45.88","-4.64","47","16","28","34.04","34.04","7.21","73","19","33","26.03","26.03","26.79",
"Butler, John","7","1","2","14.29","28.57","-4.37","24","3","8","12.5","33.33","-6.87","911","99","248","10.87","27.22","-168.64","5","5","478","48","127","10.04","26.57","-154.75","96","32","67","33.33","33.33","1.67","721","83","206","11.51","11.51","-115.95",
"Camacho, Miss J A","8","1","2","12.5","25","1.5","12","1","2","8.33","16.67","-2.5","579","72","181","12.44","31.26","-40.19","1","1","308","43","93","13.96","30.19","46.99","74","16","33","21.62","21.62","-18.51","450","55","145","12.22","12.22","-50.77",
"Candlish, Jennie","3","1","1","33.33","33.33","-1.8","9","2","3","22.22","33.33","-2.8","508","50","154","9.84","30.31","-161.85","6","2","247","24","68","9.72","27.53","-48.36","71","17","41","23.94","23.94","-31.81","422","41","133","9.72","9.72","-103.75",
"Carr, Mrs R A","14","2","5","14.29","35.71","6","27","4","9","14.81","33.33","1.75","753","66","184","8.76","24.44","-124.74","3","4","387","50","118","12.92","30.49","40.1","47","16","27","34.04","34.04","8.93","700","62","173","8.86","8.86","-99.07",
"Carroll, A W","17","2","3","11.76","17.65","3","36","3","7","8.33","19.44","1","1971","173","524","8.78","26.59","-508.22","1","7","984","85","254","8.64","25.81","-288.75","143","43","86","30.07","30.07","-10.21","1657","154","468","9.29","9.29","-396.68",
"Carroll, D","4","1","1","25","25","-0.75","6","1","1","16.67","16.67","-2.75","437","48","108","10.98","24.71","-53.54","3","2","226","29","60","12.83","26.55","-44.71","41","14","19","34.15","34.15","6.75","336","39","90","11.61","11.61","-38.59",
"Chapple-Hyam, P W","1","1","1","100","100","4","2","1","1","50","50","3","86","12","24","13.95","27.91","-25.32","3","1","42","6","11","14.29","26.19","-6.39","10","5","7","50","50","0.85","53","7","17","13.21","13.21","-18.01",
"Charlton, Roger/Harry","2","0","0","0","0","-2","7","2","2","28.57","28.57","-2.09","620","104","232","16.77","37.42","-138.33","11","3","261","37","92","14.18","35.25","-85.95","137","53","90","38.69","38.69","-7.95","341","62","130","18.18","18.18","-68.39",
