horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Caspers Court (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","27","0","Buckley, Tom","4.50","Woollacott, Mrs Kayley","156","100","0",,
"Langley Hundred (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","26","0","Gale, Miss Elizabeth","5.00","Hobbs, P J","149","103","0",,
"Pilot Show (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","18","0","Kitts, Dylan","7.00","Greatrex, W J","150","104","0",,
"Raddon Top (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","211","0","Gingell, Mr Frederick","5.50","Down, C J","161","112","0",,
"San Agustin (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","12","0","Iles, Cameron","3.00","Lacey, T","153","107","0",,
"The Composeur (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","34","0","Brace, Mr J","3.00","ONeill, Jonjo","152","104","0",,
"Wearapinkribbon (IRE)","13:00:00","2022-11-14","Exeter","National Hunt","Handicap Hurdle","2m7f ","23","Good","7","Class 4","49","0","Price, Charlie","28.00","Nelmes, Mrs H R J","158","102","0",,
"Camprond (FR)","13:30:00","2022-11-14","Exeter","National Hunt","Novices Chase","2m3.5f ","19.5","Good","4","Class 3","198","0","Coleman, A","2.00","Hobbs, P J","156","147","0",,
"Mcfabulous (IRE)","13:30:00","2022-11-14","Exeter","National Hunt","Novices Chase","2m3.5f ","19.5","Good","4","Class 3","9","0","Cobden, Harry","0.91","Nicholls, P F","156","153","0",,
"Merchant In Milan (IRE)","13:30:00","2022-11-14","Exeter","National Hunt","Novices Chase","2m3.5f ","19.5","Good","4","Class 3","260","0","Price, Charlie","125.00","Nelmes, Mrs H R J","153","72","0",,
"Unexpected Party (FR)","13:30:00","2022-11-14","Exeter","National Hunt","Novices Chase","2m3.5f ","19.5","Good","4","Class 3","243","0","Skelton, Harry","3.50","Skelton, Daniel","156","141","0",,
"Aldsworth","14:00:00","2022-11-14","Exeter","National Hunt","Novices Hurdle","2m.5f ","16.5","Good","15","Class 4","233","0","Bellamy, Tom","12.00","King, A","154","0","0",,
"Ben Bulben (IRE)","14:00:00","2022-11-14","Exeter","National Hunt","Novices Hurdle","2m.5f ","16.5","Good","15","Class 4","246","0","Bowen, Sean P","9.00","Fry, Harry","154","0","0",,
"Far Sight","14:00:00","2022-11-14","Exeter","National Hunt","Novices Hurdle","2m.5f ","16.5","Good","15","Class 4","166","0","OBrien, T J","3.50","Hobbs, P J","154","0","0",,
"Flash Gorcombe","14:00:00","2022-11-14","Exeter","National Hunt","Novices Hurdle","2m.5f ","16.5","Good","15","Class 4","12","0","Carver, Bryan","125.00","Walford, Robert","154","0","0",,
"Gingerbred","14:00:00","2022-11-14","Exeter","National Hunt","Novices Hurdle","2m.5f ","16.5","Good","15","Class 4","20","0","Nolan, Michael G","28.00","Hobbs, P J","154","0","0",,
