Jockey,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Ahern, Miss S","0","0","0","0","0","0","41","1","9","2.44","21.95","-28","443","25","16","0","5","0","31.25","-16","0","0","0","0","0","0","24","1","4","4.17","4.17","-11",
"Allan, David","43","8","16","18.6","37.21","-9.71","1210","147","388","12.15","32.07","-145.73","1","2","604","76","199","12.58","32.95","-133.29","193","64","117","33.16","33.16","2.51","909","129","309","14.19","14.19","-113.67",
"Bass, George","24","2","8","8.33","33.33","-9","444","40","114","9.01","25.68","-57.32","10","17","194","19","47","9.79","24.23","11.51","25","10","14","40","40","4.43","350","35","94","10","10","-28.07",
"Beasley, Connor","33","5","14","15.15","42.42","4.38","1128","144","394","12.77","34.93","-99.27","1","1","715","90","248","12.59","34.69","-63.6","178","49","106","27.53","27.53","-14.67","799","113","302","14.14","14.14","20.67",
"Benson, Miss G","0","0","0","0","0","0","16","1","3","6.25","18.75","-1","390","15","14","0","2","0","14.29","-14","0","0","0","0","0","0","8","1","2","12.5","12.5","7",
"Berry, Mr R A","0","0","0","0","0","0","14","1","1","7.14","7.14","-5","207","6","11","1","1","9.09","9.09","-2","0","0","0","0","0","0","3","1","1","33.33","33.33","6",
"Bishop, Charles","25","3","7","12","28","-1.87","814","69","179","8.48","21.99","-281.76","3","6","291","24","67","8.25","23.02","-45.36","54","18","35","33.33","33.33","-1.08","491","36","104","7.33","7.33","-165.54",
"Blackmore, Rachael","29","7","11","24.14","37.93","26.38","998","168","396","16.83","39.68","-267.32","3","3","365","57","139","15.62","38.08","-111.91","229","80","143","34.93","34.93","-49.59","385","33","112","8.57","8.57","-118.21",
"Bradley, Paddy","10","0","2","0","20","-10","31","1","8","3.23","25.81","-24.5","16","11","29","1","8","3.45","27.59","-22.5","2","0","1","0","0","-2","25","1","8","4","4","-18.5",
"Brassil, C","4","0","1","0","25","-4","79","4","17","5.06","21.52","-48.8","27","10","51","3","14","5.88","27.45","-30.8","6","1","3","16.67","16.67","-3.8","44","2","11","4.55","4.55","-28",
"Breslin, Andrew","6","0","0","0","0","-6","313","21","69","6.71","22.04","-101.37","34","16","125","12","27","9.6","21.6","-15.87","13","3","5","23.08","23.08","-5.12","274","21","67","7.66","7.66","-62.37",
"Buckley, Kieran","11","1","8","9.09","72.73","-4","213","25","72","11.74","33.8","-53.11","6","7","129","15","45","11.63","34.88","-33.18","21","9","14","42.86","42.86","7.64","167","21","53","12.57","12.57","-37.05",
"Buick, William","39","8","18","20.51","46.15","-17.22","1711","376","745","21.98","43.54","-78.61","7","14","846","201","390","23.76","46.1","-81.97","566","224","370","39.58","39.58","14.24","961","176","362","18.31","18.31","-153.82",
"Callaghan, Mr K","5","0","1","0","20","-5","94","7","19","7.45","20.21","-43.07","62","37","87","6","17","6.9","19.54","-51.07","8","2","6","25","25","-4.07","53","2","8","3.77","3.77","-31",
"Callan, N","39","8","18","20.51","46.15","-2.84","396","62","145","15.66","36.62","94.45","3","6","394","62","144","15.74","36.55","96.45","64","19","38","29.69","29.69","-10.52","258","42","91","16.28","16.28","49.77",
"Carroll, G F","28","4","6","14.29","21.43","0.63","1008","88","256","8.73","25.4","-119.58","5","4","489","42","125","8.59","25.56","-161.45","81","24","48","29.63","29.63","-2.66","540","54","149","10","10","57.92",
"Carver, William","11","1","2","9.09","18.18","-8.62","341","31","71","9.09","20.82","-140.93","14","11","161","13","31","8.07","19.25","-72.58","35","10","19","28.57","28.57","-8.76","255","26","58","10.2","10.2","-73.41",
"Catton, Luke","8","0","0","0","0","-8","169","16","43","9.47","25.44","-25.99","40","22","99","10","23","10.1","23.23","0.01","17","4","12","23.53","23.53","-4.49","148","15","41","10.14","10.14","-55.99",
"Cleary, Harry","0","0","0","0","0","0","34","0","6","0","17.65","-34","9999","9999","10","0","2","0","20","-10","0","0","0","0","0","0","12","0","2","0","0","-12",
"Clutterbuck, Rhys","35","3","10","8.57","28.57","-21.87","646","78","188","12.07","29.1","-142.94","7","13","403","52","120","12.9","29.78","-55.07","91","27","49","29.67","29.67","-8.52","511","67","161","13.11","13.11","-94.39",
"Coakley, Ross","18","4","8","22.22","44.44","-0.74","560","64","172","11.43","30.71","-127.06","1","2","376","52","134","13.83","35.64","-59.06","65","26","43","40","40","7.53","341","45","112","13.2","13.2","-32.59",
"Coen, Ben M","18","2","6","11.11","33.33","-10.5","867","74","234","8.54","26.99","-340.62","1","1","500","43","147","8.6","29.4","-201.96","87","26","54","29.89","29.89","-3.83","431","33","104","7.66","7.66","-178.75",
"Coen, J","19","2","5","10.53","26.32","33","359","32","96","8.91","26.74","-101.2","13","16","359","32","96","8.91","26.74","-101.2","32","9","17","28.13","28.13","-1.86","273","21","73","7.69","7.69","-77.26",
"Colgan, R C","18","1","1","5.56","5.56","-15","864","36","123","4.17","14.24","-408.86","13","15","316","12","46","3.8","14.56","-142.5","27","6","17","22.22","22.22","-4.77","466","21","81","4.51","4.51","-167.67",
"Condon, R J","11","0","3","0","27.27","-11","216","11","43","5.09","19.91","-63.75","59","47","126","8","30","6.35","23.81","-31.25","13","2","6","15.38","15.38","-8.25","120","8","29","6.67","6.67","-4.25",
"Cooper, Bryan J","14","3","7","21.43","50","11.5","648","65","202","10.03","31.17","-179.46","4","2","329","43","122","13.07","37.08","-30.74","72","22","48","30.56","30.56","-7.09","291","32","96","11","11","12.13",
"Cosgrave, Pat","28","3","9","10.71","32.14","-8.12","685","87","234","12.7","34.16","-41.49","4","4","361","43","122","11.91","33.8","-66.12","87","29","52","33.33","33.33","-11.06","467","58","158","12.42","12.42","-15.05",
"Costello, Dougie","20","1","1","5","5","-17.5","817","65","205","7.96","25.09","-362.4","7","10","376","39","97","10.37","25.8","-165.28","64","20","37","31.25","31.25","-2.9","594","53","154","8.92","8.92","-236",
