trainer,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","0","0","0","0","0","0","90","4","14","4.44","15.56","-62.17","63","5","39","3","8","7.69","20.51","-24.17","2","1","2","50","50","2","52","3","12","5.77","5.77","-28.17",
"Appleby, M","23","1","4","4.35","17.39","-20.5","50","2","12","4","24","-45.12","1851","231","569","12.48","30.74","-170.35","5","18","929","118","305","12.7","32.83","-151.18","273","87","164","31.87","31.87","-18.85","1600","201","503","12.56","12.56","-86.2",
"Atkinson, P G","0","0","0","0","0","0","0","0","0","0","0","0","34","3","8","8.82","23.53","-19.67","35","3","10","2","4","20","40","0.83","0","0","0","0","0","0","21","2","6","9.52","9.52","-10.17",
"Bailey, K C","6","0","0","0","0","-6","10","0","1","0","10","-10","548","74","181","13.5","33.03","-150.44","63","42","247","35","86","14.17","34.82","-61.18","87","25","56","28.74","28.74","-21.96","318","39","98","12.26","12.26","-76.29",
"Balding, A M","7","5","6","71.43","85.71","9.66","11","6","8","54.55","72.73","12.66","1855","289","685","15.58","36.93","-112.24","3","1","937","137","340","14.62","36.29","-178.25","313","102","193","32.59","32.59","-42.18","849","131","309","15.43","15.43","-51.58",
"Barclay, Stella","5","1","2","20","40","10","10","2","3","20","30","10","469","27","96","5.76","20.47","7.29","4","2","264","14","56","5.3","21.21","16.41","24","6","13","25","25","-4.46","391","25","85","6.39","6.39","66.29",
"Barron, T D","3","1","1","33.33","33.33","7","4","1","1","25","25","6","518","73","173","14.09","33.4","-47.05","5","2","230","33","79","14.35","34.35","-36.97","93","27","52","29.03","29.03","5.55","412","60","142","14.56","14.56","-15.46",
"Bell, M L W","3","2","2","66.67","66.67","4.63","5","2","3","40","60","2.63","678","95","222","14.01","32.74","-224.14","3","1","344","45","125","13.08","36.34","-151.49","113","41","62","36.28","36.28","2.12","402","54","132","13.43","13.43","-156.69",
"Bethell, Ed","1","0","0","0","0","-1","1","0","0","0","0","-1","354","49","126","13.84","35.59","-36.4","36","3","202","26","68","12.87","33.66","-20.64","62","13","34","20.97","20.97","-29.73","203","34","76","16.75","16.75","23.71",
"Botti, M","2","0","2","0","100","-2","5","0","5","0","100","-5","775","98","249","12.65","32.13","90.28","18","7","387","44","129","11.37","33.33","47.37","94","22","46","23.4","23.4","-29.93","498","69","159","13.86","13.86","4.86",
"Bourke, D F","2","0","0","0","0","-2","2","0","0","0","0","-2","147","12","35","8.16","23.81","-5.25","15","3","79","4","20","5.06","25.32","-24","5","1","2","20","20","-1.75","113","11","26","9.73","9.73","15.75",
"Bowring, S R","2","0","0","0","0","-2","2","0","0","0","0","-2","165","26","58","15.76","35.15","39.31","88","19","82","10","32","12.2","39.02","13.68","31","9","15","29.03","29.03","-1.44","147","24","53","16.33","16.33","42.31",
"Brassil, Martin","1","0","0","0","0","-1","3","0","0","0","0","-3","174","19","47","10.92","27.01","-55.09","42","14","93","5","21","5.38","22.58","-62.4","19","9","12","47.37","47.37","4.91","70","12","22","17.14","17.14","14.01",
