trainer,1Day_Runs,1Day_Wins,1Day_Places,1Day_Win_Strike,1Day_Place_Strike,1Day_SP_ProfitLoss,3Day_Runs,3Day_Wins,3Day_Places,3Day_Win_Strike,3Day_Place_Strike,3Day_SP_ProfitLoss,7Day_Runs,7Day_Wins,7Day_Places,7Day_Win_Strike,7Day_Place_Strike,7Day_SP_ProfitLoss,14Day_Runs,14Day_Wins,14Day_Places,14Day_Win_Strike,14Day_Place_Strike,14Day_SP_ProfitLoss,2YR_Runs,2YR_Wins,2YR_Places,2YR_Win_Strike,2YR_Place_Strike,2YR_SP_ProfitLoss,DaysSinceWin,RunsSinceWin,1YR_Runs,1YR_Wins,1YR_Places,1YR_Win_Strike,1YR_Place_Strike,1YR_SP_ProfitLoss,2yr_fav_Runs,2yr_fav_Wins,2yr_fav_Places,2yr_fav_Win_Strike,2yr_fav_Place_Strike,2yr_fav_SP_ProfitLoss,2yr_hcap_Runs,2yr_hcap_Wins,2yr_hcap_Places,2yr_hcap_Win_Strike,2yr_hcap_Place_Strike,2yr_hcap_SP_ProfitLoss,
"Allan, Miss Louise","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50","50","6.5","3","1","1","33.33","33.33","5.5","61","4","12","6.56","19.67","-17.12","7","1","25","2","5","8","20","12.5","4","2","4","50","50","2.38","42","3","9","7.14","7.14","-2.12",
"Allen, S G","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","14","0","1","0","7.14","-14","9999","9999","12","0","1","0","8.33","-12","0","0","0","0","0","0","8","0","0","0","0","-8",
"Appleby, M","0","0","0","0","0","0","6","2","3","33.33","50","23.5","10","2","4","20","40","19.5","25","4","10","16","40","16.9","1732","197","555","11.37","32.04","-345.91","2","1","814","88","258","10.81","31.7","-165.99","267","72","144","26.97","26.97","-61.32","1481","161","469","10.87","10.87","-304.38",
"Bailey, K C","0","0","0","0","0","0","1","0","0","0","0","-1","2","0","0","0","0","-2","3","1","1","33.33","33.33","6","483","68","155","14.08","32.09","-102.72","13","3","221","30","64","13.57","28.96","-66.87","75","23","45","30.67","30.67","-14.27","316","48","103","15.19","15.19","-23.9",
"Bailey, Liam","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100","-1","9","0","2","0","22.22","-9","291","23","67","7.9","23.02","-139.63","46","16","146","14","39","9.59","26.71","-57.63","15","4","10","26.67","26.67","-3.13","223","17","49","7.62","7.62","-106.63",
"Barclay, Stella","2","0","1","0","50","-2","3","0","1","0","33.33","-3","6","1","3","16.67","50","0.5","9","1","3","11.11","33.33","-2.5","546","40","128","7.33","23.44","-61.9","7","5","231","17","60","7.36","25.97","-72.31","27","7","15","25.93","25.93","-4.56","443","36","106","8.13","8.13","13.02",
"Barfoot-Saunt, Mrs Tracey","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-1","23","0","0","0","0","-23","1522","63","6","0","0","0","0","-6","0","0","0","0","0","0","4","0","0","0","0","-4",
"Barr, R E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","1","0","5","-20","1883","76","9","0","0","0","0","-9","0","0","0","0","0","0","19","0","1","0","0","-19",
"Barron, T D","1","0","0","0","0","-1","3","0","1","0","33.33","-3","9","1","2","11.11","22.22","1","18","4","5","22.22","27.78","5.75","496","54","153","10.89","30.85","-129.01","5","7","251","29","75","11.55","29.88","-57.8","55","14","29","25.45","25.45","-11.55","411","49","134","11.92","11.92","-60.77",
"Best, Jim/Suzi","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","66.67","-3","7","0","5","0","71.43","-7","174","13","41","7.47","23.56","-61.12","39","14","112","8","29","7.14","25.89","-54.37","10","3","5","30","30","-2.62","116","10","31","8.62","8.62","-16.75",
