Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,numfences,
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","1","Rock Legend (IRE)","5","Skelton, Harry","0","Skelton, Daniel","0","111","163","1.20","443215","27",,"Maxios","Moraine","Gelding","D","8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","2","Barranco (IRE)","5","Jacob, Daryl","0","Crawford, S R B","0","0","156","4.50","8100","105",,"Shirocco (GER)","Be My Presenting (IRE)","Gelding","D","8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","3","Kenfromixworth","5","Dowson, Thomas","0","Collier, Tjade","0","0","156","125.00","none",," TT","Native Ruler","Bold Tara","Gelding",,"8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","4","Mrindependant","5","Mulqueen, S","0","Barnes, M A","0","0","156","250.00","70","197"," TT","Recharge (IRE)","Lady Jinks","Gelding",,"8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","5","Onesoc (IRE)","5","Willmott, Thomas","3","Smith, Mrs S J","0","0","156","8.50","8804","65",,"Valirann (FR)","Hollyvillaexpress (IRE)","Gelding",,"8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","6","Scots Poet","6","Nichol, Craig","0","Whillans, Ewan","0","94","156","11.00","8681872","132","Hood TT","Yeats (IRE)","Blue Nymph","Gelding",,"8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","7","Balearic (IRE)","4","ONeill, Jonjo (Jr)","0","ONeill, Jonjo","0","0","150","2.75","1531644","229",,"Gleneagles (IRE)","Ballybacka Lady (IRE)","Gelding",,"8",
"2022-05-10","13:00:00","Sedgefield","Paxtons Your Local Milwaukee Dealer Novices Hurdle (GBB Race)","2m.5f ","16.5","Class 4","Good","5446","8","Left Handed","8","Cornell","4","Bewley, Callum","0","Davies, J J","0","0","150","25.00","'0065529","34",,"Cannock Chase (USA)","Tsarina Louise","Gelding",,"8",
"2022-05-10","13:15:00","Chepstow","Bet 10 Get 10 With Vickers.Bet Handicap","1m ","8","Class 5","Good To Firm","3510","14","Straight","1","Darvel (IRE)","4","Crouch, Hector","0","Chamings, P R","14","71","136","12.00","2063786","12",,"Dark Angel (IRE)","Anthem Alexander (IRE)","Gelding",,"0",
"2022-05-10","13:15:00","Chepstow","Bet 10 Get 10 With Vickers.Bet Handicap","1m ","8","Class 5","Good To Firm","3510","14","Straight","2","Dundory (IRE)","6","McNamara, Adam","0","Oshea, J G M","5","68","133","3.00","8462521","12","CkPc","Holy Roman Emperor (IRE)","Lady Bones (IRE)","Gelding","CD","0",
