time,track,horse,race_name,class,race_restrictions,major,racetype,distance,prize,going,runners,category,topor,direction,stall,trainer,horse_age,pounds,jockey_name,jockeys_claim,fav,OfficialRating,Odds,racecardno,last1,last2,last3,speedandtodayrating,jockeytrainerstallionrating,total,LastRun,jockey14runs,jockey14wins,jockey14strike,jockey30runs,jockey30wins,jockey30strike,jockey1yrruns,jockey1yrwins,jockey1yrstrike,jockeyruns,jockeywins,jockeystrike,jocktrainruns,jocktrainwins,jocktrainstrike,jockcsrruns,jockcsrwins,jockcsrstrike,trainer14runs,trainer14wins,trainer14strike,trainer30runs,trainer30wins,trainer30strike,trainer1yrruns,trainer1yrwins,trainer1yrstrike,trainerruns,trainerwins,trainerstrike,traincsrruns,traincsrwins,traincsrstrike,form,horsecountry,stallsanalyser,HorseSex,stallion,LastRace_Pos,SecondLastRace_Pos,LR_OR,2LR_OR,3LR_OR,4LR_OR,Going_WinPC,Career_WinPC,Class_WinPC,Direction_WinPC,LR_Track,LR_class,LR_prize,LR_distance,LR_runners,LR_Odds,LR_weight,Days_Since_2LR,2LR_Track,2LR_class,2LR_prize,2LR_distance,2LR_runners,2LR_Odds,2LR_weight,Days_Since_3LR,3LR_Track,3LR_class,3LR_prize,3LR_distance,3LR_runners,3LR_Odds,ThirdLastRace_Pos,CareerRuns,CareerWins,LR_Major,2LR_Major,3LR_Major,LR_Going,2LR_Going,3LR_Going,dam,Headgear,headgearlr,Class_plcPC,TrkDist_plcPC,Going_plcPC,HeadgearRuns,HeadgearWins,Headgear_WinPC,MilesTravelled,PosMilesTravelled,LRDistAhead,LRDistBt,GoingRuns,GoingWins,GoingPlaces,LRSubWinpc,LRSubPlcpc,stallpos,surface,DetailedSex,TrainerHorseRuns,Hcap_NonRuns,Hcap_NonWins,NH_Hcap_NonRuns,NH_Hcap_NonWins,medianOR,avgOR,SurfaceRuns,SurfaceWins,code,Stallion1yrPC,StallionAgePC,StallionDistancePC,StallionTrackPC,StallionClassPC,StallionSurfacePC,StallionGoingPC,FCOdds,EarlyOdds,dams_stallion,LWIN_Track,LWIN_distance,LWIN_odds,LWIN_going,LWIN_OR,ClassandHigherWins,JockeyHorseRuns,JockeyHorseWins,SeasonRuns,TrainerHorseWins,TrainerHorseCodeWins,penalty,HorseCareerPlaces,HorseTrackRuns,HorseTrackWins,HorseTrackPlaces,HorseTrackWin%,HorseTrackPlace%,HorseDistanceRuns,HorseDistanceWins,HorseDistancePlaces,HorseDistanceWin%,HorseDistancePlace%,HorseCDRuns,HorseCDWins,HorseCDPlaces,HorseCDWin%,HorseclassRuns,HorseclassWins,HorseclassPlaces,race_date,
"13:15:00","Lingfield","Amsby","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","8","Eustace, Harry","5","135","Jamin, Pierre-Louis","0","Non Fav","58","3.50","1","39.894999999999996","17.876610000000003","10.40595","0.6555000000000001","0.8399","91.22275789166669","21","5","0","0","9","0","0","185","23","12","297","34","11","5","0","0","31","3","10","9","2","22","10","2","20","141","15","11","150","17","11","20","2","10","6465778","(GB)","0","Male","Sir Percy","Eighth","Seventh","62","64","66","68","0","0","0","0","Wolverhampton","Class 6","2970","1m4f ","11","33.00","135","46","Wolverhampton","Class 5","3510","1m1½f ","7","6.00","122","300","Kempton","Class 5","3240","1m3f ","11","9.00","Seventh","9","0",,,,"Standard","Standard","Standard To Slow","Astrodiva","None","Hood","0","0","25","8","0","0","95","Joint Second","0.75","13.65","4","0","1","40","60","Inside","Polytrack","Gelding","5","6","0","6","0","50.5","50","5","0","All Weather","12","14","10","0","16","11","11","7.00","6.00","Where Or When (IRE)",,,,,,"0","0","0","1","0","3","0","1","3","0","1","0","33","1","0","0","0","0","0","0","0","0","1","0","0","2022-05-03",
"13:15:00","Lingfield","Taqseemaat","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","6","Perrett, Mrs A J","4","135","Sexton, Ryan","5","Non Fav","58","4.50","2","44.67","19.17288","10.507071999999999","0.5","0.3507","92.73302643450002","10","16","3","19","30","6","20","101","15","15","122","16","13","0","0","0","4","0","0","11","0","0","16","0","0","157","19","12","411","34","8","78","8","10","6775","(GB)","1","Female","Nayef (USA)","Fifth","Seventh","59","0","0","0","0","0","0","0","Wolverhampton","Class 6","2970","1m4f ","7","10.00","132","34","Kempton","Class 5","3780","1m ","10","100.00","123","85","Wolverhampton","Class 5","3942","1m1½f ","10","10.00","Seventh","4","0",,,,"Standard","Standard To Slow","Standard","Mooakada (IRE)","Cheekpieces","None","0","0","0","0","0","0","31","Clear Seventh","0.75","3.78","2","0","0","50","50","Inside","Polytrack","Filly","3","1","0","1","0","50.5","50","1","0","All Weather","4","8","13","14","6","7","4","3.00","3.50","Montjeu (IRE)",,,,,,"0","0","0","2","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2022-05-03",
"13:15:00","Lingfield","Central City (IRE)","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","2","Kelleway, Miss Gay","7","131","Furniss, Bradley","7","Non Fav","54","10.00","3","33.120000000000005","21.168000000000003","13.481250000000001","3.4258","0.36229999999999996","92.09853900000002","10","3","0","0","4","0","0","22","0","0","22","0","0","17","0","0","2","0","0","7","0","0","15","1","7","196","9","5","444","27","6","43","2","5","5399490","(IRE)","-1","Male","Kodiac","Tenth","Ninth","56","56","57","60","14","12","13","12","Leicester","Class 6","3456","1m2f ","13","16.00","122","14","Wolverhampton","Class 6","2970","1m½f ","13","18.00","127","26","Chelmsford City","Class 6","3618","1m2f ","10","20.00","Fourth","67","8",,,,"Good To Firm","Standard","Standard","She Basic (IRE)","Cheekpieces","Cheekpieces","25","0","32","38","5","13","95","Joint Second","0.50","16.20","28","4","9","0","0","Inside","Polytrack","Gelding","9","61","6","61","6","50.5","50","25","4","All Weather","9","3","11","16","10","11","11","14.00","11.00","Desert Prince (IRE)","Chelmsford City","1m2f ","7.00","Standard","74","8","14","0","3","0","8","0","22","6","0","0","0","0","8","1","4","13","50","1","0","0","0","8","1","2","2022-05-03",
"13:15:00","Lingfield","Blue Beret","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","10","Dow, S","4","129","Keeley, Aidan","5","Non Fav","52","14.00","4","29.6779","15.210359999999998","7.492000000000001","2.4946","0.35519999999999996","79.026902","55","12","2","17","18","4","22","76","7","9","83","8","10","5","0","0","29","3","10","7","0","0","15","0","0","230","15","7","473","35","7","211","17","8","5533980","(GB)","0","Female","Helmet (AUS)","Tenth","Eighth","54","56","57","57","0","5","7","0","Lingfield","Class 6","2970","2m ","11","12.00","125","108","Lingfield","Class 6","2970","1m4f ","9","50.00","124","216","Kempton","Class 6","2322","2m ","12","6.50","Ninth","19","1",,,,"Standard","Standard","Standard To Slow","Vivid Blue","None","None","40","0","33","19","1","5","20","Joint Bottom","4.75","16.55","12","0","4","0","14","Inside","Polytrack","Filly","19","16","1","16","1","50.5","50","11","0","All Weather","11","9","8","9","10","12","9","10.00","10.00","Haafhd","Windsor","1m3½f ","8.50","Good To Firm","55","1","0","0","0","1","15","0","6","6","0","0","0","0","5","0","2","0","40","2","0","0","0","15","1","6","2022-05-03",
"13:15:00","Lingfield","Savoy Brown","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","4","Attwater, M J","6","128","Carver, William","0","Fav","51","3.00","5","36.465","20.2095","18.2175","3.5217","0.40230000000000005","103.82790255999997","8","8","0","0","16","0","0","138","12","9","311","28","9","10","1","10","50","3","6","15","0","0","22","1","5","344","19","6","617","34","6","188","13","7","7813165","(GB)","1","Male","Epaulette (AUS)","Fifth","Sixth","51","52","50","50","11","8","10","8","Lingfield","Class 6","2970","1m4f ","7","7.50","117","34","Kempton","Class 6","2916","1m4f ","10","8.50","124","59","Lingfield","Class 6","2970","1m4f ","8","5.00","First","26","2",,,,"Standard","Standard To Slow","Standard","Kindia (IRE)","None","None","19","33","22","24","2","8","20","Joint Bottom","6.00","7.03","9","1","2","0","0","Inside","Polytrack","Gelding","26","16","1","16","1","50.5","50","21","2","All Weather","10","11","13","13","11","8","10","4.50","2.50","Cape Cross (IRE)","Lingfield","1m4f ","5.00","Standard","50","2","4","1","2","2","21","0","5","8","1","2","13","25","9","2","3","22","33","3","1","1","33","21","2","4","2022-05-03",
"13:15:00","Lingfield","Devorgilla","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","3","Baker, George","4","127","Clutterbuck, Rhys","0","Non Fav","50","8.50","6","47.566238","13.428478080000001","6.088254000000001","0.6000000000000001","1.1056000000000001","83.11198365429999","171","13","2","15","24","3","13","347","41","12","500","61","12","1","0","0","157","25","16","16","2","13","30","6","20","205","28","14","426","58","14","93","16","17","5566","(GB)","-1","Female","Mukhadram","Sixth","Sixth","43","0","0","0","0","0","0","0","Wolverhampton","Class 5","3510","1m4f ","12","200.00","123","283","Salisbury","Class 5","3618","1m2f ","7","125.00","126","294","Brighton","Class 6","2322","7f ","6","22.00","Fifth","4","0",,,,"Standard","Good To Soft","Good To Firm","Sweetheart Abbey","None","None","0","0","0","4","0","0","41","Clear Sixth","1.00","13.50","1","0","0","0","25","Inside","Polytrack","Filly","4","0","0","0","0","50.5","50","1","0","All Weather","13","12","12","0","17","8","12","5.00","9.00","Dancing Spree (USA)",,,,,,"0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2022-05-03",
"13:15:00","Lingfield","Enchantee (IRE)","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","5","Deacon, Geoffrey","5","123","Bass, George","3","Non Fav","46","40.00","7","43.03342399999999","17.602829999999997","7.7878500000000015","2.5","0.7827999999999999","88.643516","104","9","2","22","13","2","15","154","11","7","370","31","8","17","3","18","64","10","16","4","1","25","5","1","20","74","8","11","113","11","10","22","2","9","303000U","(IRE)","1","Female","Gale Force Ten","Unseated Rider","Tenth","0","48","51","52","0","0","0","0","Newbury","Class 4","4084","2m½f ","12","400.00","147","135","Kempton","Class 6","2700","1m ","14","125.00","129","155","Kempton","Class 6","2700","1m4f ","12","200.00","Twelfth","10","0",,,,"Good To Soft","Standard To Slow","Standard To Slow","Love Valentine (IRE)","None","None","29","0","33","10","0","0","54","Clear Fifth",,"Didnt Finish","3","0","1","10","30","Inside","Polytrack","Mare","4","6","0","6","0","50.5","50","7","0","All Weather","15","18","26","22","16","16","22","33.00","40.00","Fruits Of Love (USA)",,,,,,"0","0","0","0","0","3","0","2","2","0","1","0","50","1","0","0","0","0","0","0","0","0","7","0","2","2022-05-03",
"13:15:00","Lingfield","London (GER)","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","7","Vaughan, Tim","5","122","Phillips, Mollie","3","Non Fav","45","4.00","8","41.10000000000001","21.197591099999997","7.766999999999999","1.85","0.5592","88.97432000668749","31","13","2","15","18","3","17","251","31","12","305","34","11","1","0","0","37","2","5","6","0","0","25","4","16","233","16","7","492","29","6","16","1","6","0360074","(GER)","1","Female","Lord Of England (GER)","Fourth","Seventh","46","45","46","49","0","0","0","0","Lingfield","Class 6","2970","1m4f ","6","12.00","114","62","Lingfield","Class 6","2970","1m2f ","11","14.00","128","95","Lingfield","Class 6","2970","1m4f ","12","80.00","Tenth","8","0",,,,"Standard","Standard","Standard","La Reine Noir (GER)","Hood","Hood","0","0","20","4","0","0","173","Clear Top","1.50","6.00","5","0","1","33","33","Inside","Polytrack","Mare","4","4","0","4","0","50.5","50","3","0","All Weather","16","20","25","25","0","20","0","6.00","3.50","Rainbow Quest (USA)",,,,,,"0","1","0","1","0","4","0","1","3","0","0","0","0","2","0","0","0","0","2","0","0","0","5","0","0","2022-05-03",
"13:15:00","Lingfield","Miss Pollyanna (IRE)","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","1","Ingram, R","6","122","Ingram, Rhiain B","0","Non Fav","45","22.00","9","33.13","15.365609999999998","8.069999999999999","1.4445","0.22260000000000002","81.17756599999998","31","2","0","0","2","0","0","43","0","0","150","5","3","70","4","6","43","2","5","2","0","0","4","0","0","55","1","2","119","6","5","42","3","7","6463988","(IRE)","-1","Female","Helmet (AUS)","Eighth","Eighth","46","46","45","44","0","0","0","0","Lingfield","Class 6","2970","2m ","10","50.00","116","62","Lingfield","Class 6","2970","1m5f ","9","40.00","124","83","Kempton","Class 6","2916","2m ","11","16.00","Ninth","30","0",,,,"Standard","Standard","Standard To Slow","Ivy Batty (IRE)","Hood","Hood","7","0","6","24","0","0","20","Joint Bottom","8.00","6.35","17","0","1","20","20","Inside","Polytrack","Mare","30","21","0","21","0","50.5","50","26","0","All Weather","11","9","8","9","10","12","9","10.00","16.00","Kings Best (USA)",,,,,,"0","17","0","1","0","26","0","2","9","0","1","0","11","3","0","0","0","0","1","0","0","0","27","0","2","2022-05-03",
"13:15:00","Lingfield","Dark Icon","Download The At The Races App Apprentice Handicap","Class 6","4yo+","Non-Major","Handicap","1m4f ","2970","Standard","10","All Weather","58","Left Handed","9","Butler, John","5","122","Cole, Morgan","5","Non Fav","45","18.00","10","32.970000000000006","16.46629335","9.194897000000001","1.8","1.2869","80.67848561925001","24","2","0","0","4","1","25","74","10","14","93","11","12","6","2","33","13","1","8","14","4","29","31","9","29","419","47","11","750","76","10","120","14","12","4989","(GB)","0","Female","Sixties Icon","Ninth","Eighth","45","0","0","0","0","0","0","0","Wolverhampton","Class 6","2970","1m1½f ","10","80.00","126","50","Wolverhampton","Class 5","3942","1m½f ","9","250.00","126","68","Southwell","Class 5","3942","7f ","9","125.00","Ninth","4","0",,,,"Standard","Standard","Standard To Slow","Dark Raider (IRE)","None","None","0","0","0","4","0","0","95","Joint Second","4.00","10.10","3","0","0","0","20","Inside","Polytrack","Mare","4","1","0","1","0","50.5","50","1","0","All Weather","8","6","4","9","6","4","3","16.00","14.00","Definite Article",,,,,,"0","0","0","1","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2022-05-03",
