horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Al Hitmi","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","1","0","Hart, Jason","4.50","Burke, K R","133","0","1",,
"Carmentis (IRE)","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","No Prev","0","Mullen, Andrew","9.00","Haslam, B M R","128","0","4",,
"Deguello (IRE)","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","No Prev","0","Pearson, Laura","2.75","Loughnane, David","130","0","2",,
"Dixiedoodledragon (IRE)","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","No Prev","0","James, S H","12.00","Dalgleish, Keith","128","0","3",,
"Monte Forte","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","No Prev","0","Stott, Kevin","3.50","Ryan, K A","133","0","6",,
"Queen Of Deauville (IRE)","13:20:00","2022-05-16","Carlisle","Flat (Turf)","Novices","5f ","5","Good To Firm","6","Class 4","No Prev","0","Norton, Francis","2.75","Johnston, M","128","0","5",,
"Amazing Alba","13:55:00","2022-05-16","Carlisle","Flat (Turf)","Handicap","5f ","5","Good To Firm","9","Class 5","236","0","Mullen, Andrew","40.00","Whillans, Ewan","116","56","7",,
"East Street Revue","13:55:00","2022-05-16","Carlisle","Flat (Turf)","Handicap","5f ","5","Good To Firm","9","Class 5","25","0","Allan, David","16.00","Easterby, T D","131","71","4",,
"Fashion Advice","13:55:00","2022-05-16","Carlisle","Flat (Turf)","Handicap","5f ","5","Good To Firm","9","Class 5","365","0","Norton, Francis","5.00","Dalgleish, Keith","133","73","5",,
"Good Earth (IRE)","13:55:00","2022-05-16","Carlisle","Flat (Turf)","Handicap","5f ","5","Good To Firm","9","Class 5","6","0","Eaves, Tom","3.50","Herrington,M ","128","68","9",,
