racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","1st",,"Symbol of Hope","5","Harris, Miss G","4","Dawson, R","0","133","1.25","(Fav)","58","1 mins 0.75s","60.75",,"54","5","1","Flat","2.394300244444885","1.1937403908486521","2","3","1110","0","Handicap","tracked leader after 1f, led over 1f out, ridden and ran on","4","Centre","Left Handed","CkPc","4","19","Dandy Man (IRE)","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","2nd","2.5","Street Parade","3","Attwater, M J","6","Carson, William","0","137","7.5",,"62","1 mins 0.75s","60.75","2.5","54","5","2","Flat","10.549423132262312","2.1","2","3","1110","0","Handicap","in touch in rear, wide and pushed along halfway, ridden and headway entering final furlong, stayed on to go 2nd towards finish","1","Centre","Left Handed","CkPc","51","38","Swiss Spirit","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","3rd","1","Hot Hot Hot","8","Carroll, A W","5","Morris, Luke","0","121","10",,"46","1 mins 0.75s","60.75","3.5","54","5","3","Flat","12.5","2.341745038769792","2","3","1110","0","Handicap","raced wide in touch, headway to track leaders halfway, ridden and kept on one pace","8","Centre","Left Handed",,"8","25","Hot Streak (IRE)","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","4th","0.5","Atyaaf","6","Furtado, Ivan","7","ONeill, K T","0","129","2",,"54","1 mins 0.75s","60.75","4","54","5","4","Flat","3.177758182","1.3432821158093433","2","3","1110","0","Handicap","led, ridden and headed over 1f out, no extra","5","Centre","Left Handed",,"31","36","Invincible Spirit (IRE)","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","5th","1.25","Sir Rodneyredblood","4","Jenkins, J R","5","Ghiani, Marco","0","133","8",,"58","1 mins 0.75s","60.75","5.25","54","5","5","Flat","11.336743185399099","2.2953037015616884","2","3","1110","0","Handicap","keen chased leader 1f, tracked leaders, pushed along halfway, weakened inside final furlong","3","Centre","Left Handed",,"13","50","Roderic OConnor (IRE)","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","6th","1.25","Babyduke","2","Mullineaux, M","5","Bennett, Charlie","0","121","125",,"46","1 mins 0.75s","60.75","6.5","54","5","6","Flat","280.600219412769","30","2","3","1110","0","Handicap","tracked leaders, pushed along halfway, weakened final furlong","7","Centre","Left Handed",,"100","4","Heeraat (IRE)","Flat",
"2022-05-02","13:21:00","Bath","Sky Sports Racing Sky 415 Handicap","4yo+","Class 6",,"5f ","2970","Good To Firm","7","7th","HD","Fittleton Ferry","1","Evans, Mrs N S","4","Heard, Tyler","5","116","80",,"46","1 mins 0.75s","60.75","6.6","54","5","7","Flat","122.54346205825715","15","2","3","1110","0","Handicap","always in rear","6","Centre","Left Handed","Hood","306","7","Equiano (FR)","Flat",
"2022-05-02","13:56:00","Bath","British Stallion Studs EBF Restricted Novice Stakes (GBB Race)","2yo","Class 4",,"5f ","5832","Good To Firm","6","1st",,"Byefornow","1","Foy, Kevin","2","Pearson, Laura","3","120","6",,"0","1 mins 2.17s","62.17",,"0","5","1","Flat","7.747438810172843","3.5701711341204194","2","2","1110","0","Novices","tracked leader, pushed along and every chance over 1f out, ridden to lead inside final furlong, ran on","4","Centre","Left Handed",,"None","0","Charm Spirit (IRE)","Flat",
"2022-05-02","13:56:00","Bath","British Stallion Studs EBF Restricted Novice Stakes (GBB Race)","2yo","Class 4",,"5f ","5832","Good To Firm","6","2nd","0.75","Duchray","5","Johnston, M","2","Norton, Francis","0","134","4",,"0","1 mins 2.17s","62.17","0.75","0","5","2","Flat","5","2.645549574667603","2","2","1110","0","Novices","led, ridden and headed inside final furlong, no extra","1","Centre","Left Handed",,"15","2","The Last Lion (IRE)","Flat",
"2022-05-02","13:56:00","Bath","British Stallion Studs EBF Restricted Novice Stakes (GBB Race)","2yo","Class 4",,"5f ","5832","Good To Firm","6","3rd","HD","Panama","2","Teal, R A","2","Shoemark, Kieran","0","128","7.5",,"0","1 mins 2.17s","62.17","0.85","0","5","3","Flat","9.4","4.4","2","2","1110","0","Novices","slow into stride, in rear, pushed along and headway on outer entering final furlong, ran on","2","Centre","Left Handed",,"None","0","Havana Grey","Flat",
